"",BBSF2.M.1.S.I1251.REN01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I1251.REN01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net sales receipts / Life insurance corporations / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:01,
2009-09,419,
2009-10,-167,
2009-11,164,
2009-12,692,
2010-01,249,
2010-02,137,
2010-03,-288,
2010-04,213,
2010-05,87,
2010-06,290,
2010-07,-1743,
2010-08,184,
2010-09,191,
2010-10,248,
2010-11,31,
2010-12,750,
2011-01,223,
2011-02,27,
2011-03,318,
2011-04,-65,
2011-05,28,
2011-06,112,
2011-07,34,
2011-08,-71,
2011-09,264,
2011-10,2,
2011-11,10,
2011-12,625,
2012-01,262,
2012-02,-538,
2012-03,181,
2012-04,4,
2012-05,35,
2012-06,216,
2012-07,75,
2012-08,8,
2012-09,-654,
2012-10,-330,
2012-11,-242,
2012-12,295,
2013-01,-42,
2013-02,181,
2013-03,-68,
2013-04,-30,
2013-05,870,
2013-06,-450,
2013-07,420,
2013-08,-33,
2013-09,50,
2013-10,753,
2013-11,-12,
2013-12,562,
2014-01,-10,
2014-02,-177,
2014-03,-36,
2014-04,-4322,
2014-05,484,
2014-06,245,
2014-07,-837,
2014-08,-33,
2014-09,122,
2014-10,76,
2014-11,66,
