"",BBK01.OEAH07S,BBK01.OEAH07S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:10,
2002-01,4.481,
2002-04,4.524,
2002-07,4.544,
2002-10,4.824,
2003-01,4.978,
2003-04,5.026,
2003-07,5.042,
2003-10,5.456,
2004-01,5.510,
2004-04,5.557,
2004-07,5.570,
2004-10,4.410,
2005-01,4.656,
2005-04,4.693,
2005-07,4.742,
2005-10,4.965,
2006-01,5.052,
2006-04,5.147,
2006-07,5.089,
2006-10,5.470,
2007-01,5.433,
2007-04,5.443,
2007-07,5.532,
2007-10,5.876,
2008-01,5.829,
2008-04,5.722,
2008-07,5.685,
2008-10,5.708,
2009-01,5.788,
2009-04,4.556,
2009-07,4.640,
2009-10,4.941,
2010-01,5.019,
2010-04,5.018,
2010-07,4.996,
2010-10,5.011,
2011-01,4.997,
2011-04,4.995,
2011-07,5.002,
2011-10,5.148,
2012-01,5.228,
2012-04,5.263,
2012-07,5.326,
2012-10,5.257,
2013-01,5.297,
2013-04,5.528,
2013-07,5.601,
2013-10,5.716,
2014-01,5.809,
2014-04,5.883,
2014-07,5.973,
