"",BBFB1.Q.N.DE.R5.S1.S1.T.B.CA._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.R5.S1.S1.T.B.CA._Z._Z._Z._T._X.N_FLAGS
"",Current account / Balance of the Current account / OPEC (Organization of Petroleum Exporting Countries),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:43,
1991-01,213.940,
1991-04,471.105,
1991-07,947.786,
1991-10,1341.414,
1992-01,1216.471,
1992-04,1083.944,
1992-07,1150.878,
1992-10,1155.627,
1993-01,627.876,
1993-04,536.757,
1993-07,665.509,
1993-10,994.580,
1994-01,831.532,
1994-04,705.145,
1994-07,426.515,
1994-10,599.806,
1995-01,689.086,
1995-04,625.594,
1995-07,664.325,
1995-10,1004.038,
1996-01,578.969,
1996-04,722.949,
1996-07,861.292,
1996-10,781.634,
1997-01,421.146,
1997-04,754.388,
1997-07,889.112,
1997-10,992.264,
1998-01,924.627,
1998-04,183.217,
1998-07,941.925,
1998-10,1112.928,
1999-01,934.367,
1999-04,723.679,
1999-07,623.795,
1999-10,396.181,
2000-01,43.391,
2000-04,-290.117,
2000-07,-191.580,
2000-10,-365.649,
2001-01,969.461,
2001-04,628.650,
2001-07,1015.865,
2001-10,1682.089,
2002-01,1523.181,
2002-04,1550.655,
2002-07,1831.349,
2002-10,1544.821,
2003-01,1237.355,
2003-04,1314.966,
2003-07,2456.635,
2003-10,1588.948,
2004-01,2204.784,
2004-04,2470.542,
2004-07,2009.197,
2004-10,1681.557,
2005-01,2798.500,
2005-04,2599.745,
2005-07,2518.080,
2005-10,2596.534,
2006-01,2737.786,
2006-04,2499.320,
2006-07,2317.890,
2006-10,3327.794,
2007-01,3829.736,
2007-04,3468.619,
2007-07,3661.403,
2007-10,3953.453,
2008-01,3875.152,
2008-04,3367.679,
2008-07,3890.287,
2008-10,6489.364,
2009-01,5526.187,
2009-04,4768.731,
2009-07,4515.167,
2009-10,5419.976,
2010-01,4538.374,
2010-04,4614.512,
2010-07,6126.671,
2010-10,5655.742,
2011-01,3338.369,
2011-04,2922.172,
2011-07,3578.826,
2011-10,5775.872,
2012-01,3452.327,
2012-04,4365.894,
2012-07,4430.900,
2012-10,4781.353,
2013-01,3602.078,
2013-04,4474.360,
2013-07,4693.314,
2013-10,6889.604,
2014-01,5804.235,Provisional value
2014-04,6768.182,Provisional value
2014-07,5854.154,Provisional value
