"",BBFB1.Q.N.DE.IE.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.IE.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Ireland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:28:41,
1991-01,-251.434,
1991-04,-324.888,
1991-07,-256.258,
1991-10,-402.494,
1992-01,-295.537,
1992-04,-446.295,
1992-07,-346.375,
1992-10,-510.477,
1993-01,-303.113,
1993-04,-386.759,
1993-07,-466.666,
1993-10,-340.762,
1994-01,-306.462,
1994-04,-378.629,
1994-07,-498.997,
1994-10,-481.862,
1995-01,-551.152,
1995-04,-696.874,
1995-07,-484.575,
1995-10,-536.494,
1996-01,-502.868,
1996-04,-687.037,
1996-07,-701.911,
1996-10,-546.975,
1997-01,-581.897,
1997-04,-547.320,
1997-07,-641.410,
1997-10,-507.266,
1998-01,-854.363,
1998-04,-1949.066,
1998-07,-1150.300,
1998-10,-697.834,
1999-01,-1404.452,
1999-04,-917.997,
1999-07,-3710.963,
1999-10,-1799.174,
2000-01,-712.772,
2000-04,-865.367,
2000-07,-2315.527,
2000-10,-2301.392,
2001-01,-1214.316,
2001-04,-3266.774,
2001-07,-3549.043,
2001-10,-2209.871,
2002-01,-474.829,
2002-04,-787.055,
2002-07,-1158.848,
2002-10,-407.318,
2003-01,-837.708,
2003-04,-765.936,
2003-07,-721.551,
2003-10,-987.421,
2004-01,-784.686,
2004-04,-637.574,
2004-07,-518.648,
2004-10,-448.459,
2005-01,-399.185,
2005-04,-653.683,
2005-07,-742.453,
2005-10,-708.114,
2006-01,-882.831,
2006-04,-1328.613,
2006-07,-1221.662,
2006-10,-1174.799,
2007-01,-595.779,
2007-04,-831.581,
2007-07,-922.286,
2007-10,-517.777,
2008-01,-464.797,
2008-04,-445.704,
2008-07,-692.423,
2008-10,-1747.582,
2009-01,-1443.214,
2009-04,-763.117,
2009-07,-725.567,
2009-10,-485.517,
2010-01,-917.097,
2010-04,-634.780,
2010-07,-1010.484,
2010-10,-1361.558,
2011-01,-767.505,
2011-04,-765.170,
2011-07,-1054.808,
2011-10,-1421.958,
2012-01,-1664.397,
2012-04,-1170.158,
2012-07,-1367.516,
2012-10,-1294.632,
2013-01,-679.172,
2013-04,-841.809,
2013-07,-1142.261,
2013-10,-736.937,
2014-01,-755.326,Provisional value
2014-04,-830.265,Provisional value
2014-07,-999.580,Provisional value
