"",BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.F1.S1.S1.T.A.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Africa,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:56,
1991-01,37.786,
1991-04,85.480,
1991-07,47.501,
1991-10,54.927,
1992-01,20.743,
1992-04,67.406,
1992-07,48.473,
1992-10,91.717,
1993-01,-9.589,
1993-04,4.668,
1993-07,37.666,
1993-10,31.122,
1994-01,40.884,
1994-04,50.179,
1994-07,31.766,
1994-10,-81.038,
1995-01,41.884,
1995-04,-25.964,
1995-07,63.024,
1995-10,22.313,
1996-01,47.436,
1996-04,77.329,
1996-07,-19.391,
1996-10,44.909,
1997-01,131.475,
1997-04,89.431,
1997-07,151.463,
1997-10,25.527,
1998-01,81.481,
1998-04,293.847,
1998-07,83.474,
1998-10,173.412,
1999-01,202.232,
1999-04,-5.821,
1999-07,272.520,
1999-10,-41.732,
2000-01,162.942,
2000-04,-74.931,
2000-07,554.810,
2000-10,339.275,
2001-01,186.968,
2001-04,382.330,
2001-07,24.598,
2001-10,-1069.995,
2002-01,-33.560,
2002-04,107.652,
2002-07,-298.517,
2002-10,-53.125,
2003-01,-40.488,
2003-04,-215.128,
2003-07,-211.376,
2003-10,43.623,
2004-01,262.899,
2004-04,450.114,
2004-07,100.968,
2004-10,218.834,
2005-01,-119.703,
2005-04,-197.194,
2005-07,48.096,
2005-10,32.248,
2006-01,192.876,
2006-04,105.686,
2006-07,-103.806,
2006-10,106.481,
2007-01,344.387,
2007-04,699.928,
2007-07,276.619,
2007-10,252.926,
2008-01,300.514,
2008-04,617.684,
2008-07,91.832,
2008-10,-29.900,
2009-01,134.129,
2009-04,103.067,
2009-07,384.942,
2009-10,122.549,
2010-01,537.549,
2010-04,-264.972,
2010-07,451.226,
2010-10,182.862,
2011-01,-168.643,
2011-04,-183.453,
2011-07,2.495,
2011-10,-155.950,
2012-01,-165.737,
2012-04,-280.355,
2012-07,-794.714,
2012-10,-209.057,
2013-01,415.476,
2013-04,43.223,
2013-07,886.310,
2013-10,184.980,
2014-01,392.776,Provisional value
2014-04,459.192,Provisional value
2014-07,280.499,Provisional value
2014-10,726.683,Provisional value
