"",BBFN1.M.DE.N.1.A.MX.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.MX.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Mexico,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:40,
1994-07,0.611,
1994-08,0.666,
1994-09,0.685,
1994-10,0.715,
1994-11,0.723,
1994-12,0.703,
1995-01,0.764,
1995-02,0.724,
1995-03,0.726,
1995-04,0.741,
1995-05,0.740,
1995-06,0.712,
1995-07,0.689,
1995-08,0.690,
1995-09,0.646,
1995-10,0.640,
1995-11,0.656,
1995-12,0.635,
1996-01,0.618,
1996-02,0.625,
1996-03,0.643,
1996-04,0.684,
1996-05,0.672,
1996-06,0.632,
1996-07,0.648,
1996-08,0.669,
1996-09,0.681,
1996-10,0.693,
1996-11,0.677,
1996-12,0.707,
1997-01,0.708,
1997-02,0.741,
1997-03,0.743,
1997-04,0.716,
1997-05,0.753,
1997-06,0.742,
1997-07,0.793,
1997-08,0.793,
1997-09,0.812,
1997-10,0.843,
1997-11,0.860,
1997-12,0.952,
1998-01,0.875,
1998-02,0.910,
1998-03,0.942,
1998-04,0.982,
1998-05,1.032,
1998-06,1.012,
1998-07,0.990,
1998-08,1.001,
1998-09,1.047,
1998-10,1.059,
1998-11,1.068,
1998-12,1.206,
1999-01,1.062,
1999-02,1.059,
1999-03,1.030,
1999-04,0.983,
1999-05,1.003,
1999-06,0.982,
1999-07,1.036,
1999-08,1.058,
1999-09,1.076,
1999-10,1.105,
1999-11,1.152,
1999-12,1.208,
2000-01,1.199,
2000-02,1.167,
2000-03,1.203,
2000-04,1.240,
2000-05,1.259,
2000-06,1.269,
2000-07,1.447,
2000-08,1.311,
2000-09,1.345,
2000-10,1.451,
2000-11,1.486,
2000-12,1.581,
2001-01,1.538,
2001-02,1.562,
2001-03,1.661,
2001-04,1.670,
2001-05,1.595,
2001-06,1.596,
2001-07,1.516,
2001-08,1.557,
2001-09,1.591,
2001-10,1.575,
2001-11,1.652,
2001-12,1.465,
2002-01,1.436,
2002-02,1.401,
2002-03,1.374,
2002-04,1.469,
2002-05,1.481,
2002-06,1.489,
2002-07,1.489,
2002-08,1.419,
2002-09,1.445,
2002-10,1.472,
2002-11,1.588,
2002-12,1.547,
2003-01,1.415,
2003-02,1.414,
2003-03,1.348,
2003-04,1.434,
2003-05,1.386,
2003-06,1.470,
2003-07,1.465,
2003-08,1.442,
2003-09,1.290,
2003-10,1.357,
2003-11,1.241,
2003-12,1.241,
2004-01,1.195,
2004-02,1.273,
2004-03,1.290,
2004-04,1.239,
2004-05,1.258,
2004-06,1.270,
2004-07,1.279,
2004-08,1.233,
2004-09,1.357,
2004-10,1.308,
2004-11,1.310,
2004-12,1.313,
2005-01,1.304,
2005-02,1.280,
2005-03,1.256,
2005-04,1.241,
2005-05,1.267,
2005-06,1.323,
2005-07,1.349,
2005-08,1.282,
2005-09,1.319,
2005-10,1.343,
2005-11,1.364,
2005-12,1.348,
2006-01,1.349,
2006-02,1.334,
2006-03,1.377,
2006-04,1.366,
2006-05,1.322,
2006-06,1.316,
2006-07,1.321,
2006-08,1.381,
2006-09,1.466,
2006-10,1.432,
2006-11,1.478,
2006-12,1.443,
2007-01,1.354,
2007-02,1.356,
2007-03,1.361,
2007-04,1.328,
2007-05,1.389,
2007-06,1.378,
2007-07,1.366,
2007-08,1.366,
2007-09,1.390,
2007-10,1.404,
2007-11,1.531,
2007-12,1.300,
2008-01,1.278,
2008-02,1.240,
2008-03,1.244,
2008-04,1.268,
2008-05,1.292,
2008-06,1.316,
2008-07,1.349,
2008-08,1.407,
2008-09,1.537,
2008-10,1.606,
2008-11,1.599,
2008-12,1.537,
2009-01,1.386,
2009-02,1.294,
2009-03,1.233,
2009-04,1.230,
2009-05,1.185,
2009-06,1.216,
2009-07,1.290,
2009-08,1.283,
2009-09,1.404,
2009-10,1.385,
2009-11,1.197,
2009-12,1.183,
2010-01,1.141,
2010-02,1.138,
2010-03,1.171,
2010-04,1.224,
2010-05,1.313,
2010-06,1.341,
2010-07,1.431,
2010-08,1.455,
2010-09,1.449,
2010-10,1.426,
2010-11,1.471,
2010-12,1.416,
2011-01,1.351,
2011-02,1.419,
2011-03,1.489,
2011-04,1.519,
2011-05,1.594,
2011-06,1.597,
2011-07,1.600,
2011-08,1.636,
2011-09,1.665,
2011-10,1.555,
2011-11,1.516,
2011-12,1.425,
2012-01,1.429,
2012-02,1.512,
2012-03,1.557,
2012-04,1.599,
2012-05,1.659,
2012-06,1.767,
2012-07,1.879,
2012-08,1.897,
2012-09,2.009,
2012-10,1.854,
2012-11,1.734,
2012-12,1.677,
2013-01,1.594,
2013-02,1.702,
2013-03,1.626,
2013-04,1.639,
2013-05,1.621,
2013-06,1.553,
2013-07,1.484,
2013-08,1.464,
2013-09,1.605,
2013-10,1.479,
2013-11,1.640,
2013-12,1.566,
2014-01,1.528,
2014-02,1.623,
2014-03,1.645,
2014-04,1.655,
2014-05,1.637,
2014-06,1.943,
2014-07,1.789,
2014-08,1.839,
2014-09,1.837,
2014-10,1.719,
2014-11,1.721,
2014-12,1.667,
