"",BBK01.OEAC35V,BBK01.OEAC35V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:53:28,
2002-01,0.231,
2002-04,0.229,
2002-07,0.228,
2002-10,0.236,
2003-01,0.197,
2003-04,0.167,
2003-07,0.164,
2003-10,0.208,
2004-01,0.188,
2004-04,0.172,
2004-07,0.158,
2004-10,0.156,
2005-01,0.153,
2005-04,0.149,
2005-07,0.140,
2005-10,0.133,
2006-01,0.135,
2006-04,0.132,
2006-07,0.138,
2006-10,0.156,
2007-01,0.139,
2007-04,0.142,
2007-07,0.139,
2007-10,0.142,
2008-01,0.137,
2008-04,0.134,
2008-07,0.139,
2008-10,0.144,
2009-01,0.136,
2009-04,0.134,
2009-07,0.133,
2009-10,0.135,
2010-01,0.125,
2010-04,0.132,
2010-07,0.127,
2010-10,0.131,
2011-01,0.134,
2011-04,0.134,
2011-07,0.144,
2011-10,0.160,
2012-01,0.160,
2012-04,0.176,
2012-07,0.184,
2012-10,0.188,
2013-01,0.209,
2013-04,0.217,
2013-07,0.219,
2013-10,0.219,
2014-01,0.210,
2014-04,0.207,
2014-07,0.213,
