"",BBEX3.M.SEK.USD.CA.AB.A01,BBEX3.M.SEK.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Sweden / USD 1 = SEK ... (selling),
unit,SEK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:20:50,
1989-01,6.3325,
1989-02,6.3000,
1989-03,6.4300,
1989-04,6.3775,
1989-05,6.7000,
1989-06,6.6550,
1989-07,6.3975,
1989-08,6.6200,
1989-09,6.4125,
1989-10,6.4200,
1989-11,6.4050,
1989-12,6.2250,
1990-01,6.1600,
1990-02,6.1250,
1990-03,6.1325,
1990-04,6.1125,
1990-05,6.1100,
1990-06,6.0575,
1990-07,5.8650,
1990-08,5.7650,
1990-09,5.7725,
1990-10,5.6450,
1990-11,5.6450,
1990-12,5.7075,
1991-01,5.5650,
1991-02,5.6500,
1991-03,6.1975,
1991-04,6.2100,
1991-05,6.1850,
1991-06,6.5425,
1991-07,6.3400,
1991-08,6.3400,
1991-09,6.0700,
1991-10,6.1150,
1991-11,5.9750,
1991-12,5.5625,
1992-01,5.8725,
1992-02,5.9375,
1992-03,5.9925,
1992-04,6.0025,
1992-05,5.8100,
1992-06,5.5250,
1992-07,5.3775,
1992-08,5.1675,
1992-09,5.3375,
1992-10,5.8000,
1992-11,6.9000,comment
1992-12,7.0600,
1993-01,7.2400,
1993-02,7.8150,
1993-03,7.7850,
1993-04,7.3350,
1993-05,7.2875,
1993-06,7.7400,
1993-07,8.3150,
1993-08,8.1325,
1993-09,8.0675,
1993-10,8.1450,
1993-11,8.4875,
1993-12,8.3425,
1994-01,7.9825,
1994-02,8.0275,
1994-03,7.8500,
1994-04,7.7400,
1994-05,7.8100,
1994-06,7.6725,
1994-07,7.7975,
1994-08,7.7600,
1994-09,7.5200,
1994-10,7.2250,
1994-11,7.5675,
1994-12,7.4825,
1995-01,7.4400,
1995-02,7.3850,
1995-03,7.4775,
1995-04,7.2425,
1995-05,7.2575,
1995-06,7.2750,
1995-07,7.0725,
1995-08,7.3175,
1995-09,6.9625,
1995-10,6.6650,
1995-11,6.5425,
1995-12,6.6975,
1996-01,6.9525,
1996-02,6.7425,
1996-03,6.6975,
1996-04,6.8075,
1996-05,6.7775,
1996-06,6.6500,
1996-07,6.6200,
1996-08,6.6250,
1996-09,6.6475,
1996-10,6.5750,
1996-11,6.7150,
1996-12,6.8950,
1997-01,7.2575,
1997-02,7.5275,
1997-03,7.6075,
1997-04,7.8275,
1997-05,7.7425,
1997-06,7.7300,
1997-07,7.9650,
1997-08,7.8225,
1997-09,7.6050,
1997-10,7.5325,
1997-11,7.7725,
1997-12,7.8950,
1998-01,8.1450,
1998-02,8.0275,
1998-03,7.9975,
1998-04,7.7500,
1998-05,7.8475,
1998-06,7.9775,
1998-07,7.9650,
1998-08,8.0900,
1998-09,7.8775,
1998-10,7.8400,
1998-11,8.1825,
1998-12,8.0900,
1999-01,7.7900,
1999-02,8.2075,
1999-03,8.3175,
1999-04,8.4075,
1999-05,8.5950,
1999-06,8.4725,
1999-07,8.2300,
1999-08,8.3050,
1999-09,8.2125,
1999-10,8.2475,
1999-11,8.5275,
1999-12,8.5500,
2000-01,8.7775,
2000-02,8.7325,
2000-03,8.6875,
2000-04,8.9450,
2000-05,9.0125,
2000-06,8.8300,
2000-07,9.1950,
2000-08,9.4575,
2000-09,9.7000,
2000-10,10.1000,
2000-11,10.0925,
2000-12,9.5600,
2001-01,9.5150,
2001-02,9.8625,
2001-03,10.4050,
2001-04,10.2125,
2001-05,10.7450,
2001-06,10.8625,
2001-07,10.5675,
2001-08,10.3950,
2001-09,10.6775,
2001-10,10.6050,
2001-11,10.6825,
2001-12,10.6850,
2002-01,10.6500,
2002-02,10.5100,
2002-03,10.3675,
2002-04,10.2500,
2002-05,9.7550,
2002-06,9.1975,
2002-07,9.4625,
2002-08,9.3325,
2002-09,9.3175,
2002-10,9.2325,
2002-11,9.1650,
2002-12,8.8600,
2003-01,8.5325,
2003-02,8.5100,
2003-03,8.5400,
2003-04,8.2325,
2003-05,7.7450,
2003-06,8.0375,
2003-07,8.1375,
2003-08,8.4775,
2003-09,7.6975,
2003-10,7.8100,
2003-11,7.5900,
2003-12,7.3100,
2004-01,7.4475,
2004-02,7.4475,
2004-03,7.6000,
2004-04,7.6925,
2004-05,7.4450,
2004-06,7.5825,
2004-07,7.6975,
2004-08,7.5975,
2004-09,7.3900,
2004-10,7.1325,
2004-11,6.7700,
2004-12,6.6475,
2005-01,7.0275,
2005-02,6.8575,
2005-03,7.0950,
2005-04,7.1100,
2005-05,7.4325,
2005-06,7.8525,
2005-07,7.7775,
2005-08,7.6975,
2005-09,7.8150,
2005-10,7.9350,
2005-11,8.1175,
2005-12,7.9875,
2006-01,7.6675,
2006-02,8.0175,
2006-03,7.7800,
2006-04,7.4475,
2006-05,7.2250,
2006-06,7.2900,
2006-07,7.2700,
2006-08,7.2275,
2006-09,7.3475,
2006-10,7.3050,
2006-11,6.9150,
2006-12,6.9075,
2007-01,7.0250,
2007-02,7.0575,
2007-03,7.0350,
2007-04,6.7725,
2007-05,6.9575,
2007-06,6.9100,
2007-07,6.7400,
2007-08,6.8825,
2007-09,6.5300,
2007-10,6.4000,
2007-11,6.4050,
2007-12,6.5025,
2008-01,6.3925,
2008-02,6.2000,
2008-03,5.9850,
2008-04,6.0425,
2008-05,6.0650,
2008-06,6.0150,
2008-07,6.0900,
2008-08,6.4375,
2008-09,6.8150,
2008-10,7.8200,
2008-11,8.0050,
2008-12,7.7875,
2009-01,8.2700,
2009-02,9.0875,
2009-03,8.3200,
2009-04,8.0200,
2009-05,7.6950,
2009-06,7.7225,
2009-07,7.4050,
2009-08,7.1700,
2009-09,7.0425,
2009-10,7.0500,
2009-11,6.9975,
2009-12,7.2475,
2010-01,7.3675,
2010-02,7.2125,
2010-03,7.2925,
2010-04,7.2600,
2010-05,7.8675,
2010-06,7.8075,
2010-07,7.2675,
2010-08,7.4675,
2010-09,6.7725,
2010-10,6.8100,
2010-11,7.0425,
2010-12,6.8375,
2011-01,6.5725,
2011-02,6.4375,
2011-03,6.3375,
2011-04,6.0400,
2011-05,6.2025,
2011-06,6.3440,
2011-07,6.4052,
2011-08,6.3883,
2011-09,6.8925,
2011-10,6.4773,
2011-11,6.9609,
2011-12,6.9584,
2012-01,6.7869,
2012-02,6.5935,
2012-03,6.6559,
2012-04,6.7559,
2012-05,7.2702,
2012-06,6.9982,
2012-07,6.8379,
2012-08,6.7103,
2012-09,6.5634,
2012-10,6.6679,
2012-11,6.6849,
2012-12,6.5506,
2013-01,6.3950,
2013-02,6.4702,
2013-03,6.5512,
2013-04,6.5946,
2013-05,6.6222,
2013-06,6.7486,
2013-07,6.6049,
2013-08,6.6286,
2013-09,6.4647,
2013-10,6.4558,
2013-11,6.6059,
2013-12,6.5434,
2014-01,6.5612,
2014-02,6.5258,
2014-03,6.5418,
2014-04,6.6040,
2014-05,6.6913,
2014-06,6.7756,
2014-07,6.9274,
2014-08,7.0077,
2014-09,7.2733,
2014-10,7.3853,
2014-11,7.4861,
2014-12,7.8467,
2015-01,8.3010,
"","Source: Skandinaviska Enskilda Banken, Stockholm",
"","Comment on 1992-11: On 20 November 1992, the Swedish central bank decided to abandon the unilateral pegging of the Swedish krona to the ECU and allow the Swedish krona to float. On the basis of the exchange rates on 19 and 20 November 1992, the Swedish krona depreciated by 11.0% against the US dollar (middle rate).",
