"",BBK01.OEAD38T,BBK01.OEAD38T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:01:28,
2002-01,0.140,
2002-04,0.143,
2002-07,0.142,
2002-10,0.170,
2003-01,0.169,
2003-04,0.174,
2003-07,0.207,
2003-10,0.229,
2004-01,0.246,
2004-04,0.256,
2004-07,0.253,
2004-10,0.276,
2005-01,0.296,
2005-04,0.292,
2005-07,0.273,
2005-10,0.278,
2006-01,0.285,
2006-04,0.284,
2006-07,0.302,
2006-10,0.275,
2007-01,0.274,
2007-04,0.125,
2007-07,0.128,
2007-10,0.130,
2008-01,0.122,
2008-04,0.120,
2008-07,0.120,
2008-10,0.121,
2009-01,0.102,
2009-04,0.099,
2009-07,0.095,
2009-10,0.095,
2010-01,0.093,
2010-04,0.092,
2010-07,0.091,
2010-10,0.093,
2011-01,0.094,
2011-04,0.091,
2011-07,0.090,
2011-10,0.092,
2012-01,0.097,
2012-04,0.097,
2012-07,0.101,
2012-10,0.105,
2013-01,0.102,
2013-04,0.097,
2013-07,0.098,
2013-10,0.096,
2014-01,0.094,
2014-04,0.091,
2014-07,0.096,
