"",BBK01.OEXB06P,BBK01.OEXB06P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:23,
2002-01,0.147,
2002-04,0.154,
2002-07,0.154,
2002-10,0.145,
2003-01,0.141,
2003-04,0.130,
2003-07,0.068,
2003-10,0.059,
2004-01,0.053,
2004-04,0.051,
2004-07,0.050,
2004-10,0.050,
2005-01,0.052,
2005-04,0.052,
2005-07,0.052,
2005-10,0.051,
2006-01,0.051,
2006-04,0.052,
2006-07,0.050,
2006-10,0.046,
2007-01,0.046,
2007-04,0.041,
2007-07,0.041,
2007-10,0.040,
2008-01,0.040,
2008-04,0.042,
2008-07,0.040,
2008-10,0.041,
2009-01,0.038,
2009-04,0.041,
2009-07,0.040,
2009-10,0.036,
2010-01,0.037,
2010-04,0.035,
2010-07,0.037,
2010-10,0.036,
2011-01,0.035,
2011-04,0.034,
2011-07,0.034,
2011-10,0.034,
2012-01,0.029,
2012-04,0.031,
2012-07,0.032,
2012-10,0.035,
2013-01,0.101,
2013-04,0.100,
2013-07,0.092,
2013-10,0.100,
2014-01,0.096,
2014-04,0.100,
2014-07,0.097,
