"",BBK01.OEHI01U,BBK01.OEHI01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:30,
2002-01,14.194,
2002-04,14.154,
2002-07,14.109,
2002-10,14.565,
2003-01,14.457,
2003-04,14.415,
2003-07,14.445,
2003-10,14.745,
2004-01,14.711,
2004-04,14.597,
2004-07,14.585,
2004-10,14.898,
2005-01,14.736,
2005-04,14.699,
2005-07,14.666,
2005-10,15.011,
2006-01,14.982,
2006-04,14.878,
2006-07,14.963,
2006-10,15.138,
2007-01,15.095,
2007-04,15.125,
2007-07,15.213,
2007-10,15.479,
2008-01,15.334,
2008-04,15.264,
2008-07,15.334,
2008-10,15.764,
2009-01,15.639,
2009-04,15.543,
2009-07,15.649,
2009-10,16.092,
2010-01,16.036,
2010-04,16.094,
2010-07,16.298,
2010-10,16.627,
2011-01,16.555,
2011-04,16.480,
2011-07,16.594,
2011-10,16.936,
2012-01,16.767,
2012-04,16.851,
2012-07,17.031,
2012-10,17.275,
2013-01,17.108,
2013-04,17.163,
2013-07,17.224,
2013-10,17.597,
2014-01,17.476,
2014-04,17.492,
2014-07,17.716,
