"",BBK01.OEAC21V,BBK01.OEAC21V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:51:58,
2002-01,0.060,
2002-04,0.090,
2002-07,0.092,
2002-10,0.090,
2003-01,0.078,
2003-04,0.090,
2003-07,0.093,
2003-10,0.069,
2004-01,0.067,
2004-04,0.096,
2004-07,0.099,
2004-10,0.071,
2005-01,0.059,
2005-04,0.069,
2005-07,0.074,
2005-10,0.059,
2006-01,0.058,
2006-04,0.072,
2006-07,0.075,
2006-10,0.058,
2007-01,0.054,
2007-04,0.071,
2007-07,0.073,
2007-10,0.050,
2008-01,0.044,
2008-04,0.061,
2008-07,0.060,
2008-10,0.045,
2009-01,0.049,
2009-04,0.076,
2009-07,0.091,
2009-10,0.076,
2010-01,0.055,
2010-04,0.073,
2010-07,0.077,
2010-10,0.046,
2011-01,0.045,
2011-04,0.073,
2011-07,0.079,
2011-10,0.063,
2012-01,0.059,
2012-04,0.080,
2012-07,0.083,
2012-10,0.061,
2013-01,0.066,
2013-04,0.077,
2013-07,0.092,
2013-10,0.073,
2014-01,0.069,
2014-04,0.108,
2014-07,0.112,
