"",BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.EUR.BGA.X001.D,BBFN1.M.DE.N.1.L.W1.S1P.F0.S.B000.EUR.BGA.X001.D_FLAGS
"",Short-term liabilities of enterprises vis-à-vis foreign banks arising from financial operations / Deutsche Mark/Euro / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:12,
1968-12,0.741,
1969-01,0.998,
1969-02,1.157,
1969-03,1.027,
1969-04,1.238,
1969-05,1.758,
1969-06,1.328,
1969-07,1.174,
1969-08,1.264,
1969-09,2.052,
1969-10,1.996,
1969-11,1.532,
1969-12,0.563,
1970-01,0.521,
1970-02,0.751,
1970-03,0.875,
1970-04,1.079,
1970-05,1.167,
1970-06,1.422,
1970-07,1.697,
1970-08,2.054,
1970-09,2.097,
1970-10,2.335,
1970-11,2.718,
1970-12,2.462,
1971-01,3.256,
1971-02,3.514,
1971-03,3.895,
1971-04,4.621,
1971-05,5.048,
1971-06,5.098,
1971-07,5.305,
1971-08,4.631,
1971-09,3.787,
1971-10,3.387,
1971-11,3.296,
1971-12,2.992,
1972-01,3.257,
1972-02,3.347,
1972-03,2.427,
1972-04,1.905,
1972-05,1.830,
1972-06,1.998,
1972-07,2.797,
1972-08,3.244,
1972-09,3.025,
1972-10,2.544,
1972-11,2.080,
1972-12,1.530,
1973-01,1.653,
1973-02,1.398,
1973-03,1.260,
1973-04,1.161,
1973-05,1.187,
1973-06,1.111,
1973-07,0.991,
1973-08,0.850,
1973-09,0.722,
1973-10,0.712,
1973-11,0.693,
1973-12,0.542,
1974-01,0.599,
1974-02,0.763,
1974-03,0.762,
1974-04,1.361,
1974-05,1.339,
1974-06,1.340,
1974-07,1.482,
1974-08,1.626,
1974-09,1.849,
1974-10,2.210,
1974-11,2.637,
1974-12,2.600,
1975-01,3.041,
1975-02,4.089,
1975-03,3.948,
1975-04,4.233,
1975-05,3.827,
1975-06,4.034,
1975-07,4.463,
1975-08,5.612,
1975-09,5.470,
1975-10,5.798,
1975-11,5.165,
1975-12,4.275,
1976-01,3.994,
1976-02,4.448,
1976-03,4.889,
1976-04,5.230,
1976-05,4.920,
1976-06,5.136,
1976-07,4.723,
1976-08,4.661,
1976-09,4.992,
1976-10,5.472,
1976-11,5.064,
1976-12,4.304,
1977-01,4.612,
1977-02,5.237,
1977-03,5.241,
1977-04,5.250,
1977-05,5.766,
1977-06,5.589,
1977-07,6.327,
1977-08,6.326,
1977-09,6.606,
1977-10,7.904,
1977-11,8.567,
1977-12,8.254,
1978-01,8.092,
1978-02,8.731,
1978-03,8.299,
1978-04,7.613,
1978-05,7.391,
1978-06,7.752,
1978-07,7.935,
1978-08,8.646,
1978-09,8.259,
1978-10,9.963,
1978-11,10.530,
1978-12,8.555,
1979-01,8.639,
1979-02,8.891,
1979-03,8.285,
1979-04,8.086,
1979-05,7.592,
1979-06,8.195,
1979-07,8.727,
1979-08,8.762,
1979-09,9.082,
1979-10,9.635,
1979-11,9.315,
1979-12,7.402,
1980-01,10.110,
1980-02,11.632,
1980-03,12.638,
1980-04,12.988,
1980-05,13.095,
1980-06,13.644,
1980-07,14.307,
1980-08,16.055,
1980-09,16.254,
1980-10,16.209,
1980-11,16.401,
1980-12,13.453,
1981-01,16.218,
1981-02,14.770,
1981-03,16.123,
1981-04,17.805,
1981-05,18.529,
1981-06,18.414,
1981-07,19.188,
1981-08,19.515,
1981-09,19.820,
1981-10,19.502,
1981-11,20.366,
1981-12,18.162,
1982-01,19.955,
1982-02,20.952,
1982-03,21.093,
1982-04,21.264,
1982-05,21.717,
1982-06,21.624,
1982-07,21.650,
1982-08,22.111,
1982-09,22.517,
1982-10,22.401,
1982-11,22.853,
1982-12,19.859,
1983-01,22.031,
1983-02,22.251,
1983-03,21.732,
1983-04,21.256,
1983-05,20.928,
1983-06,20.675,
1983-07,20.871,
1983-08,20.952,
1983-09,20.211,
1983-10,20.611,
