"",BBSF2.M.1.S.I0002.AKT01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.AKT01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Equity funds / Sales receipts / Pension fund institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:29,
2009-09,219,
2009-10,488,
2009-11,184,
2009-12,548,
2010-01,9,
2010-02,124,
2010-03,192,
2010-04,108,
2010-05,295,
2010-06,193,
2010-07,409,
2010-08,2,
2010-09,274,
2010-10,3,
2010-11,372,
2010-12,155,
2011-01,187,
2011-02,99,
2011-03,170,
2011-04,17,
2011-05,63,
2011-06,225,
2011-07,196,
2011-08,298,
2011-09,445,
2011-10,18,
2011-11,112,
2011-12,380,
2012-01,335,
2012-02,231,
2012-03,145,
2012-04,743,
2012-05,6,
2012-06,75,
2012-07,196,
2012-08,252,
2012-09,126,
2012-10,497,
2012-11,361,
2012-12,793,
2013-01,75,
2013-02,38,
2013-03,577,
2013-04,599,
2013-05,675,
2013-06,10,
2013-07,62,
2013-08,843,
2013-09,57,
2013-10,379,
2013-11,159,
2013-12,671,
2014-01,241,
2014-02,14,
2014-03,27,
2014-04,9,
2014-05,327,
2014-06,1279,
2014-07,4,
2014-08,58,
2014-09,17,
2014-10,131,
2014-11,148,
