"",BBK01.OEAA25R,BBK01.OEAA25R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:41,
2002-01,4.204,
2002-04,4.202,
2002-07,4.180,
2002-10,4.189,
2003-01,4.129,
2003-04,4.133,
2003-07,4.098,
2003-10,4.035,
2004-01,3.933,
2004-04,3.915,
2004-07,3.909,
2004-10,3.852,
2005-01,3.852,
2005-04,3.816,
2005-07,3.769,
2005-10,3.729,
2006-01,3.685,
2006-04,3.667,
2006-07,3.629,
2006-10,3.609,
2007-01,3.586,
2007-04,3.572,
2007-07,3.531,
2007-10,3.571,
2008-01,3.548,
2008-04,3.533,
2008-07,3.485,
2008-10,3.482,
2009-01,3.470,
2009-04,3.569,
2009-07,3.536,
2009-10,3.547,
2010-01,3.525,
2010-04,3.532,
2010-07,3.521,
2010-10,3.493,
2011-01,3.505,
2011-04,3.523,
2011-07,3.519,
2011-10,3.553,
2012-01,3.579,
2012-04,3.998,
2012-07,3.975,
2012-10,3.994,
2013-01,4.008,
2013-04,4.035,
2013-07,4.033,
2013-10,4.057,
2014-01,4.089,
2014-04,4.118,
2014-07,4.109,
