"",BBK01.OEBB08R,BBK01.OEBB08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:27,
2002-01,6.766,
2002-04,6.806,
2002-07,6.851,
2002-10,6.930,
2003-01,6.696,
2003-04,6.737,
2003-07,6.736,
2003-10,6.817,
2004-01,6.782,
2004-04,6.764,
2004-07,6.762,
2004-10,6.740,
2005-01,7.666,
2005-04,7.695,
2005-07,7.732,
2005-10,7.695,
2006-01,7.744,
2006-04,7.839,
2006-07,7.965,
2006-10,8.048,
2007-01,8.186,
2007-04,8.206,
2007-07,8.289,
2007-10,8.531,
2008-01,11.722,
2008-04,8.759,
2008-07,8.801,
2008-10,8.940,
2009-01,8.905,
2009-04,9.427,
2009-07,9.531,
2009-10,9.793,
2010-01,10.027,
2010-04,10.133,
2010-07,10.364,
2010-10,10.570,
2011-01,10.720,
2011-04,10.820,
2011-07,10.932,
2011-10,11.229,
2012-01,11.375,
2012-04,11.498,
2012-07,11.669,
2012-10,11.872,
2013-01,11.928,
2013-04,12.063,
2013-07,12.200,
2013-10,12.448,
2014-01,12.600,
2014-04,12.523,
2014-07,12.595,
