"",BBK01.OEAE33U,BBK01.OEAE33U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:30,
2002-01,0.557,
2002-04,0.566,
2002-07,0.559,
2002-10,0.563,
2003-01,0.557,
2003-04,0.553,
2003-07,0.555,
2003-10,0.533,
2004-01,0.519,
2004-04,0.528,
2004-07,0.530,
2004-10,0.558,
2005-01,0.555,
2005-04,0.545,
2005-07,0.545,
2005-10,0.555,
2006-01,0.543,
2006-04,0.541,
2006-07,0.539,
2006-10,0.539,
2007-01,0.538,
2007-04,0.604,
2007-07,0.599,
2007-10,0.598,
2008-01,0.602,
2008-04,0.604,
2008-07,0.615,
2008-10,0.623,
2009-01,0.650,
2009-04,0.721,
2009-07,0.713,
2009-10,0.960,
2010-01,0.693,
2010-04,0.694,
2010-07,0.692,
2010-10,0.674,
2011-01,0.701,
2011-04,0.698,
2011-07,0.700,
2011-10,0.694,
2012-01,0.697,
2012-04,0.723,
2012-07,0.754,
2012-10,0.738,
2013-01,0.748,
2013-04,0.761,
2013-07,0.794,
2013-10,0.794,
2014-01,0.790,
2014-04,0.722,
2014-07,0.925,
