"",BBK01.OEAN01M,BBK01.OEAN01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:00,
2002-01,49.033,
2002-04,48.221,
2002-07,48.014,
2002-10,49.229,
2003-01,49.471,
2003-04,48.900,
2003-07,48.739,
2003-10,49.484,
2004-01,49.416,
2004-04,49.123,
2004-07,48.750,
2004-10,50.188,
2005-01,53.358,
2005-04,52.986,
2005-07,52.502,
2005-10,52.942,
2006-01,52.719,
2006-04,52.180,
2006-07,51.414,
2006-10,51.294,
2007-01,50.369,
2007-04,49.456,
2007-07,48.407,
2007-10,48.688,
2008-01,47.770,
2008-04,47.087,
2008-07,45.696,
2008-10,47.186,
2009-01,47.636,
2009-04,47.876,
2009-07,47.965,
2009-10,48.828,
2010-01,49.547,
2010-04,49.840,
2010-07,49.752,
2010-10,50.595,
2011-01,51.241,
2011-04,51.089,
2011-07,50.906,
2011-10,51.358,
2012-01,51.648,
2012-04,51.340,
2012-07,50.850,
2012-10,51.018,
2013-01,51.392,
2013-04,51.219,
2013-07,50.970,
2013-10,51.294,
2014-01,51.243,
2014-04,50.926,
2014-07,50.999,
