"",BBK01.OEAH74U,BBK01.OEAH74U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:31:37,
2002-01,0.567,
2002-04,0.594,
2002-07,0.556,
2002-10,0.452,
2003-01,0.475,
2003-04,0.465,
2003-07,0.488,
2003-10,0.465,
2004-01,0.568,
2004-04,0.497,
2004-07,0.525,
2004-10,0.450,
2005-01,0.459,
2005-04,0.460,
2005-07,0.533,
2005-10,0.486,
2006-01,0.620,
2006-04,0.637,
2006-07,0.707,
2006-10,0.742,
2007-01,0.850,
2007-04,0.904,
2007-07,0.978,
2007-10,0.975,
2008-01,1.000,
2008-04,1.073,
2008-07,1.190,
2008-10,0.931,
2009-01,0.652,
2009-04,0.514,
2009-07,0.393,
2009-10,0.329,
2010-01,0.272,
2010-04,0.253,
2010-07,0.283,
2010-10,0.292,
2011-01,0.366,
2011-04,0.400,
2011-07,0.452,
2011-10,0.592,
2012-01,0.645,
2012-04,0.674,
2012-07,0.675,
2012-10,0.622,
2013-01,0.569,
2013-04,0.540,
2013-07,0.578,
2013-10,0.485,
2014-01,0.573,
2014-04,0.535,
2014-07,0.501,
