"",BBK01.OEAJ06H,BBK01.OEAJ06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:59:30,
2002-01,2.903,
2002-04,2.878,
2002-07,2.855,
2002-10,2.767,
2003-01,2.788,
2003-04,2.729,
2003-07,2.677,
2003-10,2.589,
2004-01,2.472,
2004-04,2.441,
2004-07,2.399,
2004-10,2.414,
2005-01,2.347,
2005-04,2.258,
2005-07,2.202,
2005-10,2.095,
2006-01,2.078,
2006-04,2.087,
2006-07,2.045,
2006-10,2.008,
2007-01,1.970,
2007-04,1.907,
2007-07,1.885,
2007-10,1.792,
2008-01,1.734,
2008-04,1.709,
2008-07,1.715,
2008-10,1.714,
2009-01,1.695,
2009-04,1.588,
2009-07,1.570,
2009-10,1.600,
2010-01,1.554,
2010-04,1.500,
2010-07,1.529,
2010-10,1.506,
2011-01,1.599,
2011-04,1.703,
2011-07,1.815,
2011-10,1.804,
2012-01,1.733,
2012-04,1.640,
2012-07,1.549,
2012-10,1.477,
2013-01,1.454,
2013-04,1.405,
2013-07,1.441,
2013-10,1.438,
2014-01,1.367,
2014-04,1.340,
2014-07,1.264,
