"",BBK01.OEHB02J,BBK01.OEHB02J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:28,
2002-01,1.450,
2002-04,1.514,
2002-07,1.477,
2002-10,1.347,
2003-01,1.335,
2003-04,1.289,
2003-07,1.280,
2003-10,1.244,
2004-01,1.223,
2004-04,1.275,
2004-07,1.210,
2004-10,1.094,
2005-01,1.190,
2005-04,1.154,
2005-07,1.127,
2005-10,1.170,
2006-01,1.139,
2006-04,1.098,
2006-07,1.075,
2006-10,1.120,
2007-01,1.049,
2007-04,1.006,
2007-07,0.939,
2007-10,1.047,
2008-01,1.050,
2008-04,1.100,
2008-07,1.190,
2008-10,1.190,
2009-01,1.346,
2009-04,1.317,
2009-07,1.306,
2009-10,1.103,
2010-01,1.177,
2010-04,1.298,
2010-07,1.146,
2010-10,1.265,
2011-01,1.260,
2011-04,1.242,
2011-07,1.302,
2011-10,1.228,
2012-01,1.347,
2012-04,1.369,
2012-07,1.345,
2012-10,1.322,
2013-01,1.305,
2013-04,1.244,
2013-07,1.215,
2013-10,1.190,
2014-01,1.179,
2014-04,1.142,
2014-07,1.074,
