"",BBK01.OEAB05R,BBK01.OEAB05R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:16,
2002-01,18.594,
2002-04,18.659,
2002-07,18.860,
2002-10,19.224,
2003-01,19.427,
2003-04,19.342,
2003-07,19.289,
2003-10,19.345,
2004-01,19.159,
2004-04,19.164,
2004-07,19.079,
2004-10,18.994,
2005-01,19.661,
2005-04,19.645,
2005-07,19.569,
2005-10,19.322,
2006-01,19.167,
2006-04,19.362,
2006-07,19.352,
2006-10,19.283,
2007-01,18.796,
2007-04,18.526,
2007-07,18.402,
2007-10,18.471,
2008-01,23.237,
2008-04,18.626,
2008-07,18.995,
2008-10,19.097,
2009-01,18.995,
2009-04,19.514,
2009-07,19.489,
2009-10,19.877,
2010-01,20.074,
2010-04,20.236,
2010-07,20.427,
2010-10,20.572,
2011-01,20.846,
2011-04,20.996,
2011-07,21.036,
2011-10,21.406,
2012-01,21.624,
2012-04,22.313,
2012-07,22.649,
2012-10,22.971,
2013-01,23.142,
2013-04,23.428,
2013-07,23.765,
2013-10,24.074,
2014-01,24.308,
2014-04,24.414,
2014-07,24.471,
