"",BBFN1.M.DE.N.1.A.KY.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KY.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Cayman Islands,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:23:06,
1994-12,1.570,
1995-01,1.121,
1995-02,1.028,
1995-03,1.460,
1995-04,1.455,
1995-05,1.518,
1995-06,1.485,
1995-07,1.604,
1995-08,1.372,
1995-09,1.235,
1995-10,1.493,
1995-11,1.218,
1995-12,1.334,
1996-01,1.049,
1996-02,0.901,
1996-03,0.760,
1996-04,0.881,
1996-05,1.016,
1996-06,1.101,
1996-07,0.969,
1996-08,0.896,
1996-09,0.947,
1996-10,0.845,
1996-11,0.904,
1996-12,0.887,
1997-01,0.930,
1997-02,0.986,
1997-03,0.773,
1997-04,0.676,
1997-05,0.767,
1997-06,0.644,
1997-07,0.564,
1997-08,0.433,
1997-09,0.328,
1997-10,0.407,
1997-11,0.266,
1997-12,0.356,
1998-01,0.403,
1998-02,0.353,
1998-03,0.372,
1998-04,0.288,
1998-05,0.418,
1998-06,0.570,
1998-07,0.379,
1998-08,0.210,
1998-09,0.257,
1998-10,0.360,
1998-11,0.395,
1998-12,0.253,
1999-01,0.160,
1999-02,0.181,
1999-03,0.282,
1999-04,0.733,
1999-05,0.925,
1999-06,0.827,
1999-07,0.561,
1999-08,0.386,
1999-09,0.509,
1999-10,0.505,
1999-11,0.644,
1999-12,0.570,
2000-01,0.571,
2000-02,0.635,
2000-03,2.088,
2000-04,3.135,
2000-05,4.469,
2000-06,4.175,
2000-07,4.592,
2000-08,5.808,
2000-09,6.332,
2000-10,6.365,
2000-11,5.554,
2000-12,5.024,
2001-01,5.626,
2001-02,5.535,
2001-03,6.513,
2001-04,6.710,
2001-05,7.126,
2001-06,6.958,
2001-07,6.754,
2001-08,6.448,
2001-09,6.587,
2001-10,6.390,
2001-11,2.249,
2001-12,1.267,
2002-01,1.417,
2002-02,1.259,
2002-03,1.487,
2002-04,2.238,
2002-05,0.772,
2002-06,0.532,
2002-07,0.302,
2002-08,0.264,
2002-09,0.408,
2002-10,0.482,
2002-11,0.616,
2002-12,0.549,
2003-01,0.249,
2003-02,0.407,
2003-03,0.471,
2003-04,0.386,
2003-05,0.486,
2003-06,0.770,
2003-07,0.739,
2003-08,0.793,
2003-09,0.717,
2003-10,0.830,
2003-11,0.856,
2003-12,0.821,
2004-01,1.101,
2004-02,0.838,
2004-03,0.854,
2004-04,0.767,
2004-05,0.915,
2004-06,0.820,
2004-07,0.920,
2004-08,0.814,
2004-09,0.791,
2004-10,1.061,
2004-11,0.697,
2004-12,0.650,
2005-01,0.862,
2005-02,0.830,
2005-03,0.821,
2005-04,0.941,
2005-05,0.827,
2005-06,0.786,
2005-07,0.804,
2005-08,0.828,
2005-09,0.852,
2005-10,0.817,
2005-11,0.795,
2005-12,0.221,
2006-01,0.318,
2006-02,0.364,
2006-03,0.285,
2006-04,0.293,
2006-05,0.326,
2006-06,0.681,
2006-07,0.642,
2006-08,0.668,
2006-09,0.656,
2006-10,0.715,
2006-11,0.654,
2006-12,0.658,
2007-01,0.698,
2007-02,0.733,
2007-03,0.706,
2007-04,0.878,
2007-05,0.904,
2007-06,0.772,
2007-07,0.464,
2007-08,0.428,
2007-09,0.441,
2007-10,0.468,
2007-11,0.493,
2007-12,0.423,
2008-01,0.351,
2008-02,0.351,
2008-03,0.336,
2008-04,0.330,
2008-05,0.327,
2008-06,0.447,
2008-07,0.510,
2008-08,0.464,
2008-09,0.474,
2008-10,0.478,
2008-11,0.459,
2008-12,0.380,
2009-01,0.360,
2009-02,0.568,
2009-03,0.351,
2009-04,0.375,
2009-05,0.351,
2009-06,0.475,
2009-07,0.352,
2009-08,0.338,
2009-09,0.553,
2009-10,0.276,
2009-11,0.266,
2009-12,0.216,
2010-01,0.241,
2010-02,0.188,
2010-03,0.190,
2010-04,0.182,
2010-05,0.189,
2010-06,0.144,
2010-07,0.239,
2010-08,0.193,
2010-09,0.142,
2010-10,0.242,
2010-11,0.135,
2010-12,0.106,
2011-01,0.159,
2011-02,0.185,
2011-03,0.171,
2011-04,0.241,
2011-05,0.256,
2011-06,0.182,
2011-07,0.181,
2011-08,0.185,
2011-09,0.253,
2011-10,0.201,
2011-11,0.446,
2011-12,0.242,
2012-01,0.306,
2012-02,0.325,
2012-03,0.299,
2012-04,0.322,
2012-05,0.313,
2012-06,0.449,
2012-07,0.434,
2012-08,0.364,
2012-09,0.304,
2012-10,0.347,
2012-11,0.314,
2012-12,0.257,
2013-01,0.274,
2013-02,0.294,
2013-03,0.298,
2013-04,0.280,
2013-05,0.232,
2013-06,0.216,
2013-07,0.263,
2013-08,0.329,
2013-09,0.186,
2013-10,0.185,
2013-11,0.190,
2013-12,0.191,
2014-01,0.188,
2014-02,0.199,
2014-03,0.204,
2014-04,0.208,
2014-05,0.218,
2014-06,0.239,
2014-07,0.246,
2014-08,0.241,
2014-09,0.270,
2014-10,0.249,
2014-11,0.236,
2014-12,0.276,
