"",BBK01.OECJ04K,BBK01.OECJ04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:31,
2002-01,0.724,
2002-04,0.764,
2002-07,0.953,
2002-10,1.023,
2003-01,0.913,
2003-04,0.889,
2003-07,0.882,
2003-10,0.701,
2004-01,0.665,
2004-04,0.645,
2004-07,0.643,
2004-10,1.645,
2005-01,1.293,
2005-04,1.253,
2005-07,1.254,
2005-10,1.574,
2006-01,1.677,
2006-04,1.727,
2006-07,1.663,
2006-10,1.886,
2007-01,2.497,
2007-04,2.448,
2007-07,2.538,
2007-10,2.967,
2008-01,2.779,
2008-04,2.750,
2008-07,3.077,
2008-10,2.650,
2009-01,2.986,
2009-04,2.541,
2009-07,2.073,
2009-10,2.199,
2010-01,1.997,
2010-04,2.104,
2010-07,2.207,
2010-10,2.576,
2011-01,1.991,
2011-04,2.092,
2011-07,2.214,
2011-10,2.494,
2012-01,2.334,
2012-04,1.973,
2012-07,1.972,
2012-10,2.025,
2013-01,1.630,
2013-04,1.481,
2013-07,1.695,
2013-10,1.747,
2014-01,2.100,
2014-04,2.163,
2014-07,2.230,
