"",BBK01.OEAE09H,BBK01.OEAE09H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:06,
2002-01,16.045,
2002-04,16.469,
2002-07,16.481,
2002-10,15.942,
2003-01,15.041,
2003-04,14.348,
2003-07,14.324,
2003-10,14.646,
2004-01,14.909,
2004-04,14.617,
2004-07,13.716,
2004-10,13.622,
2005-01,13.926,
2005-04,13.994,
2005-07,13.969,
2005-10,13.976,
2006-01,13.366,
2006-04,13.090,
2006-07,13.110,
2006-10,12.791,
2007-01,12.851,
2007-04,12.846,
2007-07,13.046,
2007-10,13.252,
2008-01,13.656,
2008-04,13.847,
2008-07,14.671,
2008-10,12.946,
2009-01,11.830,
2009-04,9.166,
2009-07,9.096,
2009-10,8.539,
2010-01,8.247,
2010-04,8.249,
2010-07,8.196,
2010-10,8.346,
2011-01,8.023,
2011-04,8.003,
2011-07,8.405,
2011-10,8.791,
2012-01,8.772,
2012-04,9.133,
2012-07,9.215,
2012-10,9.309,
2013-01,9.078,
2013-04,9.027,
2013-07,9.178,
2013-10,9.345,
2014-01,9.345,
2014-04,8.983,
2014-07,9.154,
