"",BBK01.OEAC11H,BBK01.OEAC11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:41,
2002-01,76.422,
2002-04,75.958,
2002-07,75.638,
2002-10,75.018,
2003-01,74.615,
2003-04,73.910,
2003-07,71.356,
2003-10,72.290,
2004-01,71.515,
2004-04,70.480,
2004-07,69.553,
2004-10,67.613,
2005-01,66.779,
2005-04,66.010,
2005-07,65.617,
2005-10,64.584,
2006-01,64.899,
2006-04,64.184,
2006-07,64.089,
2006-10,62.913,
2007-01,62.812,
2007-04,62.091,
2007-07,60.872,
2007-10,58.909,
2008-01,57.514,
2008-04,56.695,
2008-07,55.928,
2008-10,54.471,
2009-01,53.337,
2009-04,44.517,
2009-07,44.397,
2009-10,43.189,
2010-01,43.626,
2010-04,43.616,
2010-07,43.165,
2010-10,43.186,
2011-01,42.191,
2011-04,42.497,
2011-07,42.770,
2011-10,44.572,
2012-01,44.780,
2012-04,46.002,
2012-07,46.931,
2012-10,46.812,
2013-01,46.874,
2013-04,47.623,
2013-07,48.125,
2013-10,48.370,
2014-01,48.633,
2014-04,48.797,
2014-07,49.581,
