"",BBEX3.M.ARS.USD.CA.AC.A01,BBEX3.M.ARS.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in Argentina / USD 1 = ARS ... (middle),
unit,ARS (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:45,
2002-02,2.1000,
2002-03,2.9500,
2002-04,2.9300,
2002-05,3.5500,
2002-06,3.7500,
2002-07,3.6500,
2002-08,3.5800,
2002-09,3.6900,
2002-10,3.4700,
2002-11,3.5900,
2002-12,3.3300,
2003-01,3.1600,
2003-02,3.1400,
2003-03,2.9300,
2003-04,2.7700,
2003-05,2.8000,
2003-06,2.7500,
2003-07,2.8700,
2003-08,2.9060,
2003-09,2.8650,
2003-10,2.8150,
2003-11,2.9400,
2003-12,2.9050,
2004-01,2.9080,
2004-02,2.9030,
2004-03,2.8400,
2004-04,2.8200,
2004-05,2.9400,
2004-06,2.9380,
2004-07,2.9600,
2004-08,2.9770,
2004-09,2.9610,
2004-10,2.9500,
2004-11,2.9250,
2004-12,2.9590,
2005-01,2.9040,
2005-02,2.9180,
2005-03,2.8970,
2005-04,2.8900,
2005-05,2.8630,
2005-06,2.8670,
2005-07,2.8410,
2005-08,2.8910,
2005-09,2.8900,
2005-10,2.9820,
2005-11,2.9460,
2005-12,3.0120,
2006-01,3.0460,
2006-02,3.0540,
2006-03,3.0620,
2006-04,3.0280,
2006-05,3.0650,
2006-06,3.0660,
2006-07,3.0520,
2006-08,3.0770,
2006-09,3.0840,
2006-10,3.0690,
2006-11,3.0480,
2006-12,3.0420,
2007-01,3.0870,
2007-02,3.0800,
2007-03,3.0800,
2007-04,3.0700,
2007-05,3.0570,
2007-06,3.0730,
2007-07,3.1010,
2007-08,3.1360,
2007-09,3.1300,
2007-10,3.1220,
2007-11,3.1250,
2007-12,3.1290,
2008-01,3.1380,
2008-02,3.1410,
2008-03,3.1480,
2008-04,3.1440,
2008-05,3.0790,
2008-06,3.0050,
2008-07,3.0240,
2008-08,3.0100,
2008-09,3.1150,
2008-10,3.3680,
2008-11,3.3530,
2008-12,3.4330,
2009-01,3.4680,
2009-02,3.5470,
2009-03,3.7000,
2009-04,3.6940,
2009-05,3.7290,
2009-06,3.7770,
2009-07,3.8100,
2009-08,3.8310,
2009-09,3.8230,
2009-10,3.7990,
2009-11,3.7910,
2009-12,3.7800,
2010-01,3.8150,
2010-02,3.8390,
2010-03,3.8580,
2010-04,3.8680,
2010-05,3.9090,
2010-06,3.9110,
2010-07,3.9200,
2010-08,3.9300,
2010-09,3.9400,
2010-10,3.9370,
2010-11,3.9680,
2010-12,3.9560,
2011-01,3.9880,
2011-02,4.0100,
2011-03,4.0340,
2011-04,4.0600,
2011-05,4.0700,
2011-06,4.0900,
2011-07,4.1250,
2011-08,4.1800,
2011-09,4.1850,
2011-10,4.2160,
2011-11,4.2610,
2011-12,4.2840,
2012-01,4.3170,
2012-02,4.3370,
2012-03,4.3590,
2012-04,4.3970,
2012-05,4.4510,
2012-06,4.5070,
2012-07,4.5650,
2012-08,4.6180,
2012-09,4.6770,
2012-10,4.7460,
2012-11,4.8180,
2012-12,4.8980,
2013-01,4.9580,
2013-02,5.0260,
2013-03,5.1020,
2013-04,5.1670,
2013-05,5.2640,
2013-06,5.3680,
2013-07,5.4850,
2013-08,5.6520,
2013-09,5.7730,
2013-10,5.8920,
2013-11,6.1210,
2013-12,6.5010,
2014-01,7.9350,
2014-02,7.8240,
2014-03,7.9520,
2014-04,7.9520,
2014-05,8.0300,
2014-06,8.0830,
2014-07,8.1630,
2014-08,8.3510,
2014-09,8.3800,
2014-10,8.4500,
2014-11,8.4740,
2014-12,8.5010,
2015-01,8.5940,
"","Source: Calculated on the basis of the buying and selling rates of the Banco de la Nación Argentina, Buenos Aires.",
