"",BBSF2.M.1.S.I0015.GEF01.I.F.MIZ.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.GEF01.I.F.MIZ.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Sales receipts / Private non-profit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:59,
2009-09,2686,
2009-10,383,
2009-11,41,
2009-12,347,
2010-01,362,
2010-02,30,
2010-03,51,
2010-04,206,
2010-05,163,
2010-06,25,
2010-07,244,
2010-08,22,
2010-09,132,
2010-10,185,
2010-11,64,
2010-12,170,
2011-01,191,
2011-02,25,
2011-03,67,
2011-04,222,
2011-05,10,
2011-06,57,
2011-07,1,
2011-08,31,
2011-09,194,
2011-10,392,
2011-11,105,
2011-12,241,
2012-01,200,
2012-02,78,
2012-03,101,
2012-04,104,
2012-05,0,
2012-06,200,
2012-07,143,
2012-08,173,
2012-09,127,
2012-10,203,
2012-11,134,
2012-12,247,
2013-01,91,
2013-02,114,
2013-03,148,
2013-04,315,
2013-05,341,
2013-06,362,
2013-07,423,
2013-08,54,
2013-09,126,
2013-10,477,
2013-11,797,
2013-12,2251,
2014-01,218,
2014-02,42,
2014-03,77,
2014-04,8,
2014-05,92,
2014-06,211,
2014-07,16,
2014-08,163,
2014-09,45,
2014-10,242,
2014-11,111,
