"",BBFN1.M.DE.N.1.A.SG.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SG.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on non-residents arising from financial operations / Total / Singapore,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:29:03,
1975-12,0.003,
1976-01,0.001,
1976-02,0.008,
1976-03,0.009,
1976-04,0.009,
1976-05,0.009,
1976-06,0.009,
1976-07,0.009,
1976-08,0.009,
1976-09,0.009,
1976-10,0.009,
1976-11,0.009,
1976-12,0.009,
1977-01,0.008,
1977-02,0.010,
1977-03,0.010,
1977-04,0.011,
1977-05,0.012,
1977-06,0.011,
1977-07,0.011,
1977-08,0.011,
1977-09,0.011,
1977-10,0.011,
1977-11,0.012,
1977-12,0.006,
1978-01,0.004,
1978-02,0.005,
1978-03,0.005,
1978-04,0.006,
1978-05,0.006,
1978-06,0.006,
1978-07,0.005,
1978-08,0.006,
1978-09,0.006,
1978-10,0.005,
1978-11,0.005,
1978-12,0.022,
1979-01,0.024,
1979-02,0.026,
1979-03,0.026,
1979-04,0.027,
1979-05,0.027,
1979-06,0.028,
1979-07,0.010,
1979-08,0.011,
1979-09,0.011,
1979-10,0.010,
1979-11,0.009,
1979-12,0.010,
1980-01,0.010,
1980-02,0.012,
1980-03,0.010,
1980-04,0.011,
1980-05,0.016,
1980-06,0.012,
1980-07,0.007,
1980-08,0.012,
1980-09,0.014,
1980-10,0.014,
1980-11,0.015,
1980-12,0.012,
1981-01,0.013,
1981-02,0.014,
1981-03,0.015,
1981-04,0.015,
1981-05,0.007,
1981-06,0.007,
1981-07,0.007,
1981-08,0.006,
1981-09,0.006,
1981-10,0.009,
1981-11,0.009,
1981-12,0.008,
1982-01,0.009,
1982-02,0.007,
1982-03,0.006,
1982-04,0.008,
1982-05,0.007,
1982-06,0.006,
1982-07,0.024,
1982-08,0.040,
1982-09,0.031,
1982-10,0.028,
1982-11,0.054,
1982-12,0.055,
1983-01,0.054,
1983-02,0.055,
1983-03,0.053,
1983-04,0.051,
1983-05,0.052,
1983-06,0.062,
1983-07,0.060,
1983-08,0.059,
1983-09,0.027,
1983-10,0.025,
1983-11,0.028,
1983-12,0.029,
1984-01,0.035,
1984-02,0.034,
1984-03,0.035,
1984-04,0.036,
1984-05,0.031,
1984-06,0.029,
1984-07,0.029,
1984-08,0.029,
1984-09,0.021,
1984-10,0.023,
1984-11,0.026,
1984-12,0.026,
1985-01,0.024,
1985-02,0.022,
1985-03,0.021,
1985-04,0.021,
1985-05,0.018,
1985-06,0.022,
1985-07,0.036,
1985-08,0.038,
1985-09,0.022,
1985-10,0.024,
1985-11,0.025,
1985-12,0.020,
1986-01,0.022,
1986-02,0.046,
1986-03,0.050,
1986-04,0.064,
1986-05,0.076,
1986-06,0.061,
1986-07,0.061,
1986-08,0.124,
1986-09,0.139,
1986-10,0.226,
1986-11,0.287,
1986-12,0.126,
1987-01,0.221,
1987-02,0.225,
1987-03,0.281,
1987-04,0.294,
1987-05,0.258,
1987-06,0.197,
1987-07,0.284,
1987-08,0.214,
1987-09,0.320,
1987-10,0.342,
1987-11,0.338,
1987-12,0.190,
1988-01,0.274,
1988-02,0.251,
1988-03,0.264,
1988-04,0.328,
1988-05,0.373,
1988-06,0.274,
1988-07,0.247,
1988-08,0.255,
1988-09,0.227,
1988-10,0.347,
1988-11,0.270,
1988-12,0.146,
1989-01,0.222,
1989-02,0.345,
1989-03,0.322,
1989-04,0.402,
1989-05,0.261,
1989-06,0.150,
1989-07,0.277,
1989-08,0.361,
1989-09,0.273,
1989-10,0.293,
1989-11,0.254,
1989-12,0.243,
1990-01,0.302,
1990-02,0.294,
1990-03,0.296,
1990-04,0.295,
1990-05,0.335,
1990-06,0.542,
1990-07,0.360,
1990-08,0.295,
1990-09,0.227,
1990-10,0.282,
1990-11,0.381,
1990-12,0.246,
1991-01,0.202,
1991-02,0.242,
1991-03,0.348,
1991-04,0.215,
1991-05,0.223,
1991-06,0.247,
1991-07,0.297,
1991-08,0.344,
1991-09,0.278,
1991-10,0.360,
1991-11,0.246,
1991-12,0.172,
1992-01,0.383,
1992-02,0.513,
1992-03,0.351,
1992-04,0.335,
1992-05,0.310,
1992-06,0.289,
1992-07,0.443,
1992-08,0.334,
1992-09,0.341,
1992-10,0.474,
1992-11,0.481,
1992-12,0.474,
1993-01,0.422,
1993-02,0.327,
1993-03,0.381,
1993-04,0.333,
1993-05,0.451,
1993-06,0.335,
1993-07,0.264,
1993-08,0.482,
1993-09,0.313,
1993-10,0.469,
1993-11,0.614,
1993-12,0.527,
1994-01,0.416,
1994-02,0.286,
1994-03,0.394,
1994-04,0.815,
1994-05,0.720,
1994-06,0.843,
1994-07,0.897,
1994-08,0.841,
1994-09,0.515,
1994-10,0.339,
1994-11,0.342,
1994-12,0.228,
1995-01,0.121,
1995-02,0.200,
1995-03,0.214,
1995-04,0.174,
1995-05,0.167,
1995-06,0.178,
1995-07,0.214,
1995-08,0.188,
1995-09,0.159,
1995-10,0.353,
1995-11,0.432,
1995-12,0.510,
1996-01,0.773,
1996-02,0.693,
1996-03,0.408,
1996-04,0.536,
1996-05,0.506,
1996-06,0.654,
1996-07,0.771,
1996-08,0.825,
1996-09,1.030,
1996-10,0.949,
1996-11,1.185,
1996-12,1.047,
1997-01,1.397,
1997-02,0.981,
1997-03,1.015,
1997-04,1.415,
1997-05,1.205,
1997-06,1.058,
1997-07,0.905,
1997-08,0.868,
1997-09,0.762,
1997-10,0.555,
1997-11,0.633,
1997-12,0.622,
1998-01,0.563,
1998-02,0.582,
1998-03,0.501,
1998-04,0.500,
1998-05,0.507,
1998-06,0.419,
1998-07,0.378,
1998-08,0.365,
1998-09,0.286,
1998-10,0.271,
1998-11,0.245,
1998-12,0.321,
1999-01,0.317,
