"",BBK01.OELJ09P,BBK01.OELJ09P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:13,
2002-01,0.010,
2002-04,0.010,
2002-07,0.007,
2002-10,0.006,
2003-01,0.007,
2003-04,0.006,
2003-07,0.008,
2003-10,0.008,
2004-01,0.009,
2004-04,0.013,
2004-07,0.011,
2004-10,0.014,
2005-01,0.008,
2005-04,0.009,
2005-07,0.009,
2005-10,0.008,
2006-01,0.008,
2006-04,0.008,
2006-07,0.011,
2006-10,0.011,
2007-01,0.013,
2007-04,0.015,
2007-07,0.012,
2007-10,0.017,
2008-01,0.017,
2008-04,0.013,
2008-07,0.013,
2008-10,0.005,
2009-01,0.004,
2009-04,0.004,
2009-07,0.004,
2009-10,0.005,
2010-01,0.006,
2010-04,0.010,
2010-07,0.011,
2010-10,0.010,
2011-01,0.009,
2011-04,0.008,
2011-07,0.005,
2011-10,0.006,
2012-01,0.008,
2012-04,0.013,
2012-07,0.015,
2012-10,0.014,
2013-01,0.015,
2013-04,0.013,
2013-07,0.011,
2013-10,0.009,
2014-01,0.008,
2014-04,0.009,
2014-07,0.009,
