"",BBK01.OEAH40I,BBK01.OEAH40I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:34,
2002-01,0.073,
2002-04,0.070,
2002-07,0.068,
2002-10,0.071,
2003-01,0.096,
2003-04,0.121,
2003-07,0.130,
2003-10,0.137,
2004-01,0.160,
2004-04,0.162,
2004-07,0.182,
2004-10,0.198,
2005-01,0.262,
2005-04,0.277,
2005-07,0.251,
2005-10,0.264,
2006-01,0.241,
2006-04,0.208,
2006-07,0.170,
2006-10,0.165,
2007-01,0.157,
2007-04,0.142,
2007-07,0.126,
2007-10,0.103,
2008-01,0.107,
2008-04,0.078,
2008-07,0.064,
2008-10,0.073,
2009-01,0.087,
2009-04,0.081,
2009-07,0.099,
2009-10,0.096,
2010-01,0.107,
2010-04,0.113,
2010-07,0.121,
2010-10,0.109,
2011-01,0.108,
2011-04,0.101,
2011-07,0.080,
2011-10,0.079,
2012-01,0.080,
2012-04,0.093,
2012-07,0.109,
2012-10,0.123,
2013-01,0.155,
2013-04,0.183,
2013-07,0.176,
2013-10,0.169,
2014-01,0.181,
2014-04,0.176,
2014-07,0.188,
