"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U9.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / All areas other than EU and ref./home area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:49,
2009-09,68996,
2009-10,69014,
2009-11,70511,
2009-12,72325,
2010-01,73800,
2010-02,73807,
2010-03,75660,
2010-04,78471,
2010-05,81183,
2010-06,81748,
2010-07,80908,
2010-08,84999,
2010-09,84645,
2010-10,85863,
2010-11,87642,
2010-12,86243,
2011-01,85781,
2011-02,87103,
2011-03,85778,
2011-04,85746,
2011-05,88166,
2011-06,88274,
2011-07,90468,
2011-08,89842,
2011-09,91604,
2011-10,95830,
2011-11,92772,
2011-12,96850,
2012-01,100957,
2012-02,102950,
2012-03,104542,
2012-04,107723,
2012-05,112694,
2012-06,113985,
2012-07,119963,
2012-08,120406,
2012-09,121456,
2012-10,123172,
2012-11,126703,
2012-12,127115,
2013-01,125139,
2013-02,129306,
2013-03,131686,
2013-04,134764,
2013-05,134004,
2013-06,131697,
2013-07,134225,
2013-08,134271,
2013-09,137428,
2013-10,139974,
2013-11,145023,
2013-12,144542,
2014-01,148700,
2014-02,147520,
2014-03,152361,
2014-04,155231,
2014-05,160671,
2014-06,163888,
2014-07,167762,
2014-08,173368,
2014-09,178418,
2014-10,182797,
2014-11,186934,
