"",BBK01.OEBB03P,BBK01.OEBB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:01,
2002-01,0.207,
2002-04,0.202,
2002-07,0.202,
2002-10,0.189,
2003-01,0.194,
2003-04,0.209,
2003-07,0.202,
2003-10,0.202,
2004-01,0.196,
2004-04,0.193,
2004-07,0.187,
2004-10,0.175,
2005-01,0.179,
2005-04,0.185,
2005-07,0.189,
2005-10,0.182,
2006-01,0.187,
2006-04,0.179,
2006-07,0.185,
2006-10,0.204,
2007-01,0.192,
2007-04,0.190,
2007-07,0.194,
2007-10,0.213,
2008-01,0.204,
2008-04,0.203,
2008-07,0.199,
2008-10,0.215,
2009-01,0.189,
2009-04,0.191,
2009-07,0.191,
2009-10,0.280,
2010-01,0.273,
2010-04,0.304,
2010-07,0.303,
2010-10,0.299,
2011-01,0.299,
2011-04,0.301,
2011-07,0.307,
2011-10,0.297,
2012-01,0.301,
2012-04,0.328,
2012-07,0.327,
2012-10,0.248,
2013-01,0.259,
2013-04,0.274,
2013-07,0.384,
2013-10,0.393,
2014-01,0.397,
2014-04,0.392,
2014-07,0.346,
