"",BBEX3.A.XCD.USD.CA.AC.A04,BBEX3.A.XCD.USD.CA.AC.A04_FLAGS
"",Exchange rates for the US dollar in the Eastern Caribbean Currency Union * / USD 1 = XCD ... (middle),
unit,XCD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-19 15:17:30,
1984,2.70255,
1985,2.70255,
1986,2.70255,
1987,2.70255,
1988,2.70255,
1989,2.70255,
1990,2.70255,
1991,2.70255,
1992,2.70255,
1993,2.70255,
1994,2.70255,
1995,2.70255,
1996,2.70255,
1997,2.70255,
1998,2.70255,
1999,2.70255,
2000,2.70255,
2001,2.70255,
2002,2.70255,
2003,2.70255,
2004,2.70255,
2005,2.70255,
2006,2.70255,
2007,2.70255,
2008,2.70255,
2009,2.70255,
2010,2.70255,
2011,2.70255,
2012,2.70255,
2013,2.70255,
2014,2.70255,
"","General: * The Eastern Caribbean Currency Union consists of the independent states of Antigua and Barbuda, Dominica, Grenada, St Kitts and Nevis, St Lucia, St Vincent and the Grenadines, as well as the British Overseas Territories of Anguilla and Montserrat. Pegged to the US dollar.",
"",Source: Calculated on the basis of buying and selling rates of the Eastern Caribbean Central Bank.,
