"",BBK01.CELL0J,BBK01.CELL0J_FLAGS
"",Investment fund shares debtor: Total                                            creditor: Households,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:51,
1999-01,13.0,
1999-04,11.2,
1999-07,9.9,
1999-10,5.5,
2000-01,20.4,
2000-04,11.7,
2000-07,9.4,
2000-10,8.0,
2001-01,18.2,
2001-04,9.2,
2001-07,7.7,
2001-10,12.8,
2002-01,15.7,
2002-04,6.3,
2002-07,8.6,
2002-10,4.2,
2003-01,18.6,
2003-04,8.4,
2003-07,-0.5,
2003-10,-1.1,
2004-01,4.2,
2004-04,1.3,
2004-07,-0.3,
2004-10,-9.7,
2005-01,6.7,
2005-04,5.4,
2005-07,7.2,
2005-10,-2.8,
2006-01,2.3,
2006-04,-8.9,
2006-07,-4.1,
2006-10,-8.1,
2007-01,-7.8,
2007-04,-7.6,
2007-07,-8.5,
2007-10,-6.3,
2008-01,-7.2,
2008-04,-2.9,
2008-07,-7.8,
2008-10,-13.1,
2009-01,-3.5,
2009-04,1.8,
2009-07,0.5,
2009-10,0.3,
2010-01,3.5,
2010-04,4.6,
2010-07,-0.2,
2010-10,-0.7,
2011-01,-3.7,
2011-04,0.4,
2011-07,-7.0,
2011-10,-2.4,
2012-01,-3.3,
2012-04,-2.7,
2012-07,-1.6,
2012-10,4.2,
2013-01,5.3,
2013-04,3.4,
2013-07,0.9,
2013-10,0.5,
2014-01,4.8,
2014-04,6.9,
2014-07,6.5,
