"",BBDE1.M.DE.W.AEM1.A2P330000.F.V.I10.A,BBDE1.M.DE.W.AEM1.A2P330000.F.V.I10.A_FLAGS
"","Orders received excluding large orders, total / At current prices, flows / Germany / Durable goods / Calendar adjusted only",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:19:53,
2010-01,90.5,
2010-02,91.2,
2010-03,105.1,
2010-04,96.8,
2010-05,100.8,
2010-06,104.1,
2010-07,99.4,
2010-08,88.2,
2010-09,109.7,
2010-10,113.6,
2010-11,108.6,
2010-12,86.1,
2011-01,103.9,
2011-02,102.8,
2011-03,113.1,
2011-04,105.5,
2011-05,102.0,
2011-06,104.4,
2011-07,110.0,
2011-08,94.3,
2011-09,119.9,
2011-10,113.0,
2011-11,106.6,
2011-12,87.8,
2012-01,99.8,
2012-02,95.0,
2012-03,112.1,
2012-04,98.9,
2012-05,99.0,
2012-06,100.7,
2012-07,100.1,
2012-08,92.7,
2012-09,111.5,
2012-10,102.5,
2012-11,97.9,
2012-12,83.3,
2013-01,98.9,
2013-02,95.5,
2013-03,111.2,
2013-04,100.8,
2013-05,98.5,
2013-06,108.3,
2013-07,99.1,
2013-08,91.6,
2013-09,111.5,
2013-10,110.0,
2013-11,107.6,
2013-12,88.5,
2014-01,100.8,
2014-02,97.6,
2014-03,113.1,
2014-04,108.2,
2014-05,99.6,
2014-06,105.4,
2014-07,97.3,
2014-08,94.4,
2014-09,107.5,
2014-10,108.1,
2014-11,106.0,
2014-12,94.0,Provisional value
