"",BBK01.OEAN03P,BBK01.OEAN03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:08,
2002-01,1.509,
2002-04,1.469,
2002-07,1.417,
2002-10,1.441,
2003-01,1.444,
2003-04,1.613,
2003-07,1.537,
2003-10,1.553,
2004-01,1.513,
2004-04,1.495,
2004-07,1.471,
2004-10,1.471,
2005-01,1.489,
2005-04,1.459,
2005-07,1.307,
2005-10,1.305,
2006-01,1.280,
2006-04,1.242,
2006-07,1.194,
2006-10,1.164,
2007-01,1.127,
2007-04,1.102,
2007-07,1.070,
2007-10,1.102,
2008-01,1.075,
2008-04,1.046,
2008-07,1.015,
2008-10,1.104,
2009-01,1.169,
2009-04,1.182,
2009-07,1.256,
2009-10,1.250,
2010-01,1.221,
2010-04,1.149,
2010-07,1.167,
2010-10,1.188,
2011-01,1.170,
2011-04,1.158,
2011-07,1.107,
2011-10,1.091,
2012-01,1.104,
2012-04,1.028,
2012-07,1.023,
2012-10,1.031,
2013-01,1.049,
2013-04,1.068,
2013-07,1.049,
2013-10,1.081,
2014-01,1.091,
2014-04,1.106,
2014-07,1.113,
