"",BBK01.OEAC47S,BBK01.OEAC47S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:39,
2002-01,0.663,
2002-04,0.629,
2002-07,0.609,
2002-10,0.612,
2003-01,0.601,
2003-04,0.577,
2003-07,0.552,
2003-10,0.545,
2004-01,0.531,
2004-04,0.522,
2004-07,0.518,
2004-10,0.497,
2005-01,0.484,
2005-04,0.488,
2005-07,0.475,
2005-10,0.460,
2006-01,0.457,
2006-04,0.454,
2006-07,0.449,
2006-10,0.466,
2007-01,0.478,
2007-04,0.457,
2007-07,0.448,
2007-10,0.438,
2008-01,0.426,
2008-04,0.431,
2008-07,0.444,
2008-10,0.448,
2009-01,0.438,
2009-04,0.441,
2009-07,0.449,
2009-10,0.421,
2010-01,0.449,
2010-04,0.435,
2010-07,0.435,
2010-10,0.447,
2011-01,0.444,
2011-04,0.441,
2011-07,0.444,
2011-10,0.442,
2012-01,0.429,
2012-04,0.430,
2012-07,0.414,
2012-10,0.407,
2013-01,0.413,
2013-04,0.415,
2013-07,0.426,
2013-10,0.440,
2014-01,0.452,
2014-04,0.464,
2014-07,0.463,
