"",BBSF2.M.1.S.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00,BBSF2.M.1.S.00000.SON01.I.F.AKT.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:21,
2009-09,48,
2009-10,64,
2009-11,66,
2009-12,79,
2010-01,103,
2010-02,105,
2010-03,145,
2010-04,144,
2010-05,150,
2010-06,151,
2010-07,157,
2010-08,153,
2010-09,174,
2010-10,188,
2010-11,198,
2010-12,219,
2011-01,238,
2011-02,249,
2011-03,215,
2011-04,236,
2011-05,207,
2011-06,223,
2011-07,216,
2011-08,231,
2011-09,223,
2011-10,276,
2011-11,1017,
2011-12,1013,
2012-01,1065,
2012-02,1121,
2012-03,1118,
2012-04,1094,
2012-05,1017,
2012-06,1012,
2012-07,1063,
2012-08,1113,
2012-09,1214,
2012-10,1273,
2012-11,1355,
2012-12,1405,
2013-01,1412,
2013-02,1428,
2013-03,1422,
2013-04,1543,
2013-05,1692,
2013-06,1612,
2013-07,1674,
2013-08,1658,
2013-09,1747,
2013-10,1837,
2013-11,1909,
2013-12,1916,
2014-01,1786,
2014-02,1799,
2014-03,1780,
2014-04,1779,
2014-05,1827,
2014-06,1845,
2014-07,1830,
2014-08,1927,
2014-09,1955,
2014-10,1949,
2014-11,2050,
