"",BBFB1.Q.N.DE.US.S1.S1.T.L.FA.O.F.L._T._X.N,BBFB1.Q.N.DE.US.S1.S1.T.L.FA.O.F.L._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / Long-term loans / United States,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:48,
1991-01,-62.322,
1991-04,-48.690,
1991-07,-74.473,
1991-10,-56.372,
1992-01,105.445,
1992-04,-8.548,
1992-07,-230.531,
1992-10,-12.697,
1993-01,72.600,
1993-04,13.421,
1993-07,25.662,
1993-10,281.292,
1994-01,211.175,
1994-04,78.644,
1994-07,-564.983,
1994-10,-132.710,
1995-01,4.354,
1995-04,-86.625,
1995-07,-167.040,
1995-10,102.035,
1996-01,-35.592,
1996-04,-4.179,
1996-07,-8.987,
1996-10,15.021,
1997-01,-14.841,
1997-04,2.548,
1997-07,-592.045,
1997-10,130.551,
1998-01,-7.194,
1998-04,47.163,
1998-07,-205.625,
1998-10,-0.544,
1999-01,-68.353,
1999-04,-86.847,
1999-07,-44.078,
1999-10,-89.373,
2000-01,43.660,
2000-04,-326.085,
2000-07,23.366,
2000-10,30.516,
2001-01,-69.308,
2001-04,20.138,
2001-07,-23.901,
2001-10,353.391,
2002-01,11.482,
2002-04,-109.376,
2002-07,-32.088,
2002-10,68.745,
2003-01,-36.742,
2003-04,134.238,
2003-07,14.583,
2003-10,200.055,
2004-01,367.341,
2004-04,295.906,
2004-07,-3.369,
2004-10,-232.146,
2005-01,454.778,
2005-04,52.130,
2005-07,13.258,
2005-10,598.971,
2006-01,875.111,
2006-04,822.590,
2006-07,478.825,
2006-10,163.416,
2007-01,1081.656,
2007-04,-250.342,
2007-07,681.176,
2007-10,-1003.554,
2008-01,790.296,
2008-04,568.324,
2008-07,82.679,
2008-10,128.233,
2009-01,-426.882,
2009-04,26.922,
2009-07,13.683,
2009-10,-41.719,
2010-01,102.675,
2010-04,-110.820,
2010-07,-5.866,
2010-10,204.218,
2011-01,19.514,
2011-04,304.642,
2011-07,-8.783,
2011-10,-4.370,
2012-01,99.209,
2012-04,559.723,
2012-07,-92.067,
2012-10,-217.336,
2013-01,1504.681,
2013-04,51.201,
2013-07,-228.499,
2013-10,16.726,
2014-01,-541.782,Provisional value
2014-04,-607.628,Provisional value
2014-07,94.758,Provisional value
2014-10,-677.356,Provisional value
