"",BBFN1.M.DE.N.1.A.CH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.CH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1978-06,0.369,
1978-07,0.370,
1978-08,0.376,
1978-09,0.379,
1978-10,0.447,
1978-11,0.491,
1978-12,0.469,
1979-01,0.424,
1979-02,0.459,
1979-03,0.475,
1979-04,0.456,
1979-05,0.470,
1979-06,0.487,
1979-07,0.533,
1979-08,0.490,
1979-09,0.479,
1979-10,0.450,
1979-11,0.499,
1979-12,0.491,
1980-01,0.494,
1980-02,0.457,
1980-03,0.479,
1980-04,0.466,
1980-05,0.499,
1980-06,0.482,
1980-07,0.475,
1980-08,0.490,
1980-09,0.506,
1980-10,0.509,
1980-11,0.531,
1980-12,0.585,
1981-01,0.594,
1981-02,0.487,
1981-03,0.539,
1981-04,0.541,
1981-05,0.665,
1981-06,0.720,
1981-07,0.745,
1981-08,0.760,
1981-09,0.764,
1981-10,0.775,
1981-11,0.777,
1981-12,0.835,
1982-01,0.737,
1982-02,0.695,
1982-03,0.655,
1982-04,0.641,
1982-05,0.632,
1982-06,0.682,
1982-07,0.629,
1982-08,0.659,
1982-09,0.697,
1982-10,0.691,
1982-11,0.723,
1982-12,0.828,
1983-01,0.765,
1983-02,0.713,
1983-03,0.739,
1983-04,0.768,
1983-05,0.772,
1983-06,0.688,
1983-07,0.680,
1983-08,0.688,
1983-09,0.691,
1983-10,0.728,
1983-11,0.662,
1983-12,0.814,
1984-01,0.714,
1984-02,0.678,
1984-03,0.663,
1984-04,0.658,
1984-05,0.693,
1984-06,0.703,
1984-07,0.710,
1984-08,0.714,
1984-09,0.684,
1984-10,0.689,
1984-11,0.706,
1984-12,1.041,
1985-01,0.777,
1985-02,0.736,
1985-03,0.746,
1985-04,0.806,
1985-05,0.801,
1985-06,0.741,
1985-07,0.785,
1985-08,0.740,
1985-09,0.745,
1985-10,0.690,
1985-11,0.699,
1985-12,0.980,
1986-01,0.715,
1986-02,0.671,
1986-03,0.703,
1986-04,0.768,
1986-05,0.915,
1986-06,1.051,
1986-07,0.977,
1986-08,1.047,
1986-09,1.055,
1986-10,1.060,
1986-11,1.095,
1986-12,1.182,
1987-01,1.037,
1987-02,0.899,
1987-03,0.936,
1987-04,0.969,
1987-05,0.959,
1987-06,0.868,
1987-07,0.952,
1987-08,0.857,
1987-09,0.889,
1987-10,0.959,
1987-11,0.971,
1987-12,0.897,
1988-01,0.977,
1988-02,0.985,
1988-03,1.091,
1988-04,0.996,
1988-05,1.060,
1988-06,0.990,
1988-07,1.114,
1988-08,1.046,
1988-09,1.055,
1988-10,1.065,
1988-11,1.144,
1988-12,1.263,
1989-01,1.249,
1989-02,1.304,
1989-03,1.428,
1989-04,1.511,
1989-05,1.687,
1989-06,1.644,
1989-07,1.458,
1989-08,1.665,
1989-09,1.711,
1989-10,1.730,
1989-11,1.749,
1989-12,2.048,
1990-01,1.897,
1990-02,1.850,
1990-03,1.919,
1990-04,1.997,
1990-05,2.050,
1990-06,1.893,
1990-07,2.194,
1990-08,2.001,
1990-09,2.579,
1990-10,2.674,
1990-11,2.718,
1990-12,3.261,
1991-01,3.430,
1991-02,3.580,
1991-03,3.760,
1991-04,3.994,
1991-05,3.844,
1991-06,3.988,
1991-07,3.827,
1991-08,3.220,
1991-09,2.939,
1991-10,3.024,
1991-11,3.045,
1991-12,2.676,
1992-01,2.835,
1992-02,2.906,
1992-03,3.005,
1992-04,2.829,
1992-05,2.607,
1992-06,2.866,
1992-07,2.531,
1992-08,2.599,
1992-09,2.229,
1992-10,2.208,
1992-11,2.126,
1992-12,2.058,
1993-01,2.206,
1993-02,2.147,
1993-03,2.265,
1993-04,2.458,
1993-05,2.550,
1993-06,2.382,
1993-07,2.349,
1993-08,2.443,
1993-09,2.451,
1993-10,2.877,
1993-11,2.757,
1993-12,2.449,
1994-01,2.581,
1994-02,2.805,
1994-03,2.986,
1994-04,2.958,
1994-05,2.833,
1994-06,2.799,
1994-07,3.054,
1994-08,2.797,
1994-09,2.666,
1994-10,2.911,
1994-11,2.703,
1994-12,2.631,
1995-01,3.228,
1995-02,2.854,
1995-03,2.679,
1995-04,2.723,
1995-05,2.784,
1995-06,2.420,
1995-07,2.757,
1995-08,2.731,
1995-09,2.633,
1995-10,2.455,
1995-11,2.381,
1995-12,2.447,
1996-01,2.952,
1996-02,2.729,
1996-03,3.600,
1996-04,3.056,
1996-05,2.799,
1996-06,2.849,
1996-07,2.426,
1996-08,2.038,
1996-09,2.116,
1996-10,2.367,
1996-11,2.102,
1996-12,1.947,
1997-01,2.420,
1997-02,2.552,
1997-03,3.031,
1997-04,2.826,
1997-05,2.617,
1997-06,2.852,
1997-07,2.958,
1997-08,3.188,
1997-09,2.997,
1997-10,3.224,
1997-11,3.325,
1997-12,2.914,
1998-01,2.947,
1998-02,2.907,
1998-03,2.901,
1998-04,3.520,
1998-05,3.845,
1998-06,3.321,
1998-07,3.700,
1998-08,3.944,
1998-09,3.705,
1998-10,4.014,
1998-11,4.088,
1998-12,4.847,
1999-01,4.748,
1999-02,4.834,
1999-03,5.124,
1999-04,5.252,
1999-05,5.278,
1999-06,5.220,
1999-07,5.563,
1999-08,5.858,
1999-09,5.840,
1999-10,5.688,
1999-11,5.486,
1999-12,5.788,
2000-01,6.273,
2000-02,6.158,
2000-03,6.355,
2000-04,5.704,
2000-05,5.640,
2000-06,6.033,
2000-07,5.680,
2000-08,6.232,
2000-09,6.520,
2000-10,6.597,
2000-11,6.405,
2000-12,5.304,
2001-01,5.807,
2001-02,5.721,
2001-03,5.802,
2001-04,5.821,
2001-05,5.720,
2001-06,5.632,
2001-07,5.486,
2001-08,5.612,
2001-09,5.922,
2001-10,6.362,
2001-11,7.224,
2001-12,7.165,
2002-01,6.183,
2002-02,5.863,
2002-03,5.890,
2002-04,6.344,
2002-05,6.616,
2002-06,6.725,
2002-07,6.868,
2002-08,6.810,
2002-09,6.857,
2002-10,7.167,
2002-11,6.912,
2002-12,6.768,
2003-01,7.297,
2003-02,6.692,
2003-03,8.000,
2003-04,8.036,
2003-05,7.806,
2003-06,7.722,
2003-07,7.453,
2003-08,7.187,
2003-09,7.318,
2003-10,7.395,
2003-11,8.204,
2003-12,7.926,
2004-01,8.236,
2004-02,8.017,
2004-03,8.435,
2004-04,8.153,
2004-05,8.101,
2004-06,8.591,
2004-07,8.618,
2004-08,8.987,
2004-09,9.188,
2004-10,8.999,
2004-11,9.130,
2004-12,8.145,
2005-01,8.281,
2005-02,7.685,
2005-03,7.959,
2005-04,8.247,
2005-05,8.456,
2005-06,8.219,
2005-07,8.060,
2005-08,8.328,
2005-09,8.958,
2005-10,9.783,
2005-11,11.045,
2005-12,10.570,
2006-01,9.931,
2006-02,8.884,
2006-03,8.300,
2006-04,9.288,
2006-05,8.846,
2006-06,8.162,
2006-07,9.177,
2006-08,8.957,
2006-09,9.449,
2006-10,9.725,
2006-11,9.347,
2006-12,9.230,
2007-01,9.157,
2007-02,9.051,
2007-03,10.462,
2007-04,9.483,
2007-05,9.604,
2007-06,8.382,
2007-07,8.740,
2007-08,8.600,
2007-09,9.024,
2007-10,9.213,
2007-11,9.154,
2007-12,9.055,
2008-01,9.569,
2008-02,8.939,
2008-03,8.671,
2008-04,8.796,
2008-05,9.226,
2008-06,9.162,
2008-07,9.908,
2008-08,8.904,
2008-09,9.363,
2008-10,9.897,
2008-11,9.811,
2008-12,9.654,
2009-01,8.383,
2009-02,8.847,
2009-03,8.860,
2009-04,10.076,
2009-05,10.258,
2009-06,10.605,
2009-07,9.709,
2009-08,9.601,
2009-09,9.938,
2009-10,10.005,
2009-11,10.349,
2009-12,10.308,
2010-01,10.598,
2010-02,10.836,
2010-03,11.095,
2010-04,11.458,
2010-05,11.300,
2010-06,12.569,
2010-07,11.872,
2010-08,11.732,
2010-09,12.457,
2010-10,12.954,
2010-11,12.991,
2010-12,13.172,
2011-01,12.641,
2011-02,11.459,
2011-03,12.076,
2011-04,12.110,
2011-05,12.336,
2011-06,11.657,
2011-07,12.099,
2011-08,16.669,
2011-09,18.872,
2011-10,19.673,
2011-11,19.228,
2011-12,15.393,
2012-01,15.270,
2012-02,16.837,
2012-03,18.654,
2012-04,19.352,
2012-05,21.159,
2012-06,22.595,
2012-07,22.895,
2012-08,23.842,
2012-09,23.808,
2012-10,22.500,
2012-11,22.563,
2012-12,20.082,
2013-01,21.659,
2013-02,21.976,
2013-03,21.437,
2013-04,24.041,
2013-05,23.689,
2013-06,21.128,
2013-07,20.550,
2013-08,11.990,
2013-09,12.680,
2013-10,10.523,
2013-11,10.714,
2013-12,11.417,
2014-01,11.099,
2014-02,11.463,
2014-03,11.164,
2014-04,14.051,
2014-05,13.644,
2014-06,14.001,
2014-07,14.148,
2014-08,14.177,
2014-09,13.919,
2014-10,14.215,
2014-11,13.805,
2014-12,11.616,
