"",BBK01.OECK03O,BBK01.OECK03O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:53,
2002-01,0.148,
2002-04,0.132,
2002-07,0.144,
2002-10,0.122,
2003-01,0.116,
2003-04,0.100,
2003-07,0.109,
2003-10,0.074,
2004-01,0.083,
2004-04,0.094,
2004-07,0.084,
2004-10,0.084,
2005-01,0.075,
2005-04,0.079,
2005-07,0.068,
2005-10,0.067,
2006-01,0.054,
2006-04,0.077,
2006-07,0.093,
2006-10,0.112,
2007-01,0.114,
2007-04,0.115,
2007-07,0.149,
2007-10,0.167,
2008-01,0.178,
2008-04,0.190,
2008-07,0.212,
2008-10,0.226,
2009-01,0.185,
2009-04,0.153,
2009-07,0.114,
2009-10,0.106,
2010-01,0.094,
2010-04,0.104,
2010-07,0.100,
2010-10,0.076,
2011-01,0.066,
2011-04,0.056,
2011-07,0.056,
2011-10,0.051,
2012-01,0.047,
2012-04,0.043,
2012-07,0.027,
2012-10,0.015,
2013-01,0.013,
2013-04,0.011,
2013-07,0.013,
2013-10,0.010,
2014-01,0.010,
2014-04,0.020,
2014-07,0.019,
