"",BBK01.OELB14L,BBK01.OELB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:59,
2002-01,1.483,
2002-04,1.507,
2002-07,1.477,
2002-10,1.458,
2003-01,1.423,
2003-04,1.366,
2003-07,1.367,
2003-10,1.324,
2004-01,1.297,
2004-04,1.258,
2004-07,1.214,
2004-10,1.158,
2005-01,1.133,
2005-04,1.089,
2005-07,1.086,
2005-10,1.065,
2006-01,1.079,
2006-04,1.057,
2006-07,1.029,
2006-10,1.010,
2007-01,0.986,
2007-04,0.998,
2007-07,0.955,
2007-10,0.957,
2008-01,0.963,
2008-04,0.952,
2008-07,0.931,
2008-10,0.949,
2009-01,0.948,
2009-04,0.929,
2009-07,0.906,
2009-10,0.872,
2010-01,0.911,
2010-04,0.891,
2010-07,0.857,
2010-10,0.827,
2011-01,0.860,
2011-04,0.816,
2011-07,0.817,
2011-10,0.777,
2012-01,0.818,
2012-04,0.830,
2012-07,0.828,
2012-10,0.801,
2013-01,0.840,
2013-04,0.803,
2013-07,0.772,
2013-10,0.744,
2014-01,0.774,
2014-04,0.753,
2014-07,0.746,
