"",BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.TW.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"","Financial account / Net foreign financial investment in the reporting country / Direct investment / Taiwan, Province of China",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:48:28,
1991-01,1.550,
1991-04,0.031,
1991-07,0.643,
1991-10,10.500,
1992-01,-0.740,
1992-04,-1.039,
1992-07,-0.953,
1992-10,0.776,
1993-01,2.746,
1993-04,-0.561,
1993-07,-0.289,
1993-10,-0.592,
1994-01,0.287,
1994-04,1.085,
1994-07,-0.585,
1994-10,0.031,
1995-01,0.257,
1995-04,11.736,
1995-07,0.209,
1995-10,0.661,
1996-01,-11.118,
1996-04,6.376,
1996-07,15.115,
1996-10,-22.076,
1997-01,25.224,
1997-04,-18.342,
1997-07,33.128,
1997-10,25.227,
1998-01,12.025,
1998-04,32.992,
1998-07,84.407,
1998-10,41.452,
1999-01,-14.286,
1999-04,23.332,
1999-07,-5.615,
1999-10,112.679,
2000-01,-98.378,
2000-04,28.829,
2000-07,90.568,
2000-10,-104.545,
2001-01,-99.697,
2001-04,-6.130,
2001-07,19.523,
2001-10,34.331,
2002-01,70.392,
2002-04,48.791,
2002-07,82.297,
2002-10,-47.446,
2003-01,-182.244,
2003-04,5.912,
2003-07,-44.291,
2003-10,136.787,
2004-01,-36.869,
2004-04,-20.735,
2004-07,28.332,
2004-10,4.228,
2005-01,-102.620,
2005-04,37.677,
2005-07,25.805,
2005-10,13.006,
2006-01,-18.430,
2006-04,53.129,
2006-07,57.650,
2006-10,-13.002,
2007-01,0.535,
2007-04,22.583,
2007-07,9.828,
2007-10,-23.700,
2008-01,-30.366,
2008-04,17.124,
2008-07,-156.614,
2008-10,-21.273,
2009-01,-17.903,
2009-04,-8.053,
2009-07,3.939,
2009-10,8.894,
2010-01,3.625,
2010-04,22.090,
2010-07,-2.766,
2010-10,30.610,
2011-01,28.318,
2011-04,-11.279,
2011-07,19.175,
2011-10,50.271,
2012-01,5.077,
2012-04,2.146,
2012-07,46.299,
2012-10,-14.908,
2013-01,-42.895,
2013-04,14.326,
2013-07,27.261,
2013-10,-5.052,
2014-01,-6.489,Provisional value
2014-04,1.862,Provisional value
2014-07,-9.423,Provisional value
2014-10,-32.302,Provisional value
