"",BBK01.OEYK02I,BBK01.OEYK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:52,
2002-01,0.386,
2002-04,0.389,
2002-07,0.363,
2002-10,0.377,
2003-01,0.382,
2003-04,0.384,
2003-07,0.858,
2003-10,0.879,
2004-01,0.838,
2004-04,0.900,
2004-07,0.866,
2004-10,0.844,
2005-01,0.851,
2005-04,0.840,
2005-07,0.874,
2005-10,1.123,
2006-01,0.989,
2006-04,0.967,
2006-07,0.960,
2006-10,0.589,
2007-01,0.602,
2007-04,0.585,
2007-07,0.570,
2007-10,0.608,
2008-01,0.589,
2008-04,0.748,
2008-07,0.700,
2008-10,0.609,
2009-01,0.759,
2009-04,0.907,
2009-07,0.992,
2009-10,1.127,
2010-01,1.186,
2010-04,1.226,
2010-07,1.238,
2010-10,1.266,
2011-01,1.195,
2011-04,1.192,
2011-07,1.211,
2011-10,1.219,
2012-01,1.111,
2012-04,1.172,
2012-07,1.189,
2012-10,1.234,
2013-01,1.139,
2013-04,1.164,
2013-07,1.193,
2013-10,1.226,
2014-01,1.260,
2014-04,1.310,
2014-07,1.363,
