"",BBK01.OECB03N,BBK01.OECB03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:47,
2002-01,4.921,
2002-04,4.591,
2002-07,4.461,
2002-10,4.129,
2003-01,3.803,
2003-04,3.699,
2003-07,3.132,
2003-10,3.066,
2004-01,3.079,
2004-04,2.914,
2004-07,2.912,
2004-10,2.869,
2005-01,4.256,
2005-04,3.968,
2005-07,4.414,
2005-10,4.118,
2006-01,4.232,
2006-04,4.807,
2006-07,4.952,
2006-10,5.134,
2007-01,5.312,
2007-04,5.177,
2007-07,5.181,
2007-10,5.444,
2008-01,6.470,
2008-04,7.085,
2008-07,7.588,
2008-10,8.840,
2009-01,7.635,
2009-04,7.956,
2009-07,8.054,
2009-10,8.082,
2010-01,7.988,
2010-04,7.594,
2010-07,7.947,
2010-10,7.557,
2011-01,7.216,
2011-04,6.874,
2011-07,6.625,
2011-10,6.798,
2012-01,6.679,
2012-04,6.572,
2012-07,6.224,
2012-10,5.852,
2013-01,6.748,
2013-04,7.340,
2013-07,6.248,
2013-10,6.135,
2014-01,6.523,
2014-04,6.542,
2014-07,6.667,
