"",BBK01.OEXB17Q,BBK01.OEXB17Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:42,
2002-01,2.728,
2002-04,2.702,
2002-07,2.669,
2002-10,2.648,
2003-01,2.608,
2003-04,2.632,
2003-07,2.640,
2003-10,2.639,
2004-01,2.631,
2004-04,2.628,
2004-07,2.637,
2004-10,2.176,
2005-01,2.197,
2005-04,2.212,
2005-07,2.271,
2005-10,2.308,
2006-01,2.346,
2006-04,2.344,
2006-07,2.342,
2006-10,2.399,
2007-01,2.396,
2007-04,2.385,
2007-07,2.386,
2007-10,2.402,
2008-01,2.367,
2008-04,2.439,
2008-07,2.423,
2008-10,2.444,
2009-01,2.435,
2009-04,2.445,
2009-07,2.509,
2009-10,2.528,
2010-01,2.536,
2010-04,2.549,
2010-07,2.553,
2010-10,2.562,
2011-01,2.565,
2011-04,2.571,
2011-07,2.585,
2011-10,2.570,
2012-01,2.593,
2012-04,2.602,
2012-07,2.633,
2012-10,2.655,
2013-01,2.678,
2013-04,2.710,
2013-07,2.747,
2013-10,2.763,
2014-01,2.788,
2014-04,2.841,
2014-07,2.870,
