"",BBK01.OECB05I,BBK01.OECB05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:59,
2002-01,11.564,
2002-04,11.261,
2002-07,11.041,
2002-10,11.151,
2003-01,10.398,
2003-04,10.403,
2003-07,10.305,
2003-10,9.800,
2004-01,9.418,
2004-04,9.271,
2004-07,9.079,
2004-10,8.592,
2005-01,11.248,
2005-04,10.856,
2005-07,10.807,
2005-10,10.755,
2006-01,10.481,
2006-04,9.999,
2006-07,10.349,
2006-10,9.659,
2007-01,9.465,
2007-04,9.558,
2007-07,9.534,
2007-10,9.785,
2008-01,9.398,
2008-04,9.754,
2008-07,9.926,
2008-10,9.717,
2009-01,9.400,
2009-04,11.615,
2009-07,11.480,
2009-10,11.115,
2010-01,11.020,
2010-04,10.828,
2010-07,13.054,
2010-10,12.667,
2011-01,12.732,
2011-04,12.431,
2011-07,12.349,
2011-10,12.297,
2012-01,12.244,
2012-04,12.464,
2012-07,12.721,
2012-10,12.680,
2013-01,12.127,
2013-04,13.573,
2013-07,13.873,
2013-10,13.694,
2014-01,13.469,
2014-04,13.841,
2014-07,13.391,
