"",BBK01.OEAC58J,BBK01.OEAC58J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:55,
2002-01,1.074,
2002-04,1.073,
2002-07,1.143,
2002-10,1.173,
2003-01,1.129,
2003-04,1.150,
2003-07,1.000,
2003-10,0.498,
2004-01,0.492,
2004-04,0.495,
2004-07,0.670,
2004-10,0.571,
2005-01,0.601,
2005-04,0.618,
2005-07,0.642,
2005-10,0.693,
2006-01,0.707,
2006-04,0.722,
2006-07,0.724,
2006-10,0.740,
2007-01,0.714,
2007-04,0.707,
2007-07,0.693,
2007-10,0.702,
2008-01,0.688,
2008-04,0.657,
2008-07,0.662,
2008-10,0.711,
2009-01,0.682,
2009-04,0.704,
2009-07,0.710,
2009-10,0.718,
2010-01,0.515,
2010-04,0.636,
2010-07,0.619,
2010-10,0.602,
2011-01,0.559,
2011-04,0.545,
2011-07,0.560,
2011-10,0.553,
2012-01,0.552,
2012-04,0.650,
2012-07,0.649,
2012-10,0.643,
2013-01,0.644,
2013-04,0.659,
2013-07,0.655,
2013-10,0.665,
2014-01,0.644,
2014-04,0.640,
2014-07,0.655,
