"",BBSF2.M.1.T.00000.DRE01.I.F.BGH.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DRE01.I.F.BGH.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Bonds funds / Deposits and loan claims,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:29,
2009-09,237,
2009-10,115,
2009-11,106,
2009-12,72,
2010-01,77,
2010-02,59,
2010-03,64,
2010-04,41,
2010-05,82,
2010-06,63,
2010-07,44,
2010-08,65,
2010-09,72,
2010-10,58,
2010-11,40,
2010-12,42,
2011-01,42,
2011-02,31,
2011-03,82,
2011-04,91,
2011-05,56,
2011-06,77,
2011-07,67,
2011-08,66,
2011-09,71,
2011-10,88,
2011-11,80,
2011-12,59,
2012-01,31,
2012-02,206,
2012-03,167,
2012-04,41,
2012-05,36,
2012-06,35,
2012-07,35,
2012-08,205,
2012-09,186,
2012-10,179,
2012-11,132,
2012-12,118,
2013-01,60,
2013-02,32,
2013-03,44,
2013-04,39,
2013-05,50,
2013-06,145,
2013-07,140,
2013-08,116,
2013-09,138,
2013-10,131,
2013-11,97,
2013-12,113,
2014-01,112,
2014-02,76,
2014-03,99,
2014-04,70,
2014-05,50,
2014-06,63,
2014-07,51,
2014-08,45,
2014-09,50,
2014-10,42,
2014-11,45,
