"",BBK01.OEAH62J,BBK01.OEAH62J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:16,
2002-01,0.022,
2002-04,0.022,
2002-07,0.020,
2002-10,0.020,
2003-01,0.019,
2003-04,0.016,
2003-07,0.015,
2003-10,0.018,
2004-01,0.020,
2004-04,0.019,
2004-07,0.022,
2004-10,0.023,
2005-01,0.024,
2005-04,0.031,
2005-07,0.032,
2005-10,0.028,
2006-01,0.031,
2006-04,0.029,
2006-07,0.024,
2006-10,0.024,
2007-01,0.029,
2007-04,0.039,
2007-07,0.041,
2007-10,0.068,
2008-01,0.076,
2008-04,0.080,
2008-07,0.106,
2008-10,0.136,
2009-01,0.132,
2009-04,0.114,
2009-07,0.098,
2009-10,0.065,
2010-01,0.058,
2010-04,0.053,
2010-07,0.064,
2010-10,0.086,
2011-01,0.070,
2011-04,0.075,
2011-07,0.077,
2011-10,0.086,
2012-01,0.092,
2012-04,0.069,
2012-07,0.064,
2012-10,0.059,
2013-01,0.054,
2013-04,0.043,
2013-07,0.033,
2013-10,0.034,
2014-01,0.021,
2014-04,0.023,
2014-07,0.023,
