"",BBSF2.M.1.S.00000.DAC01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.S.00000.DAC01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Special investors funds / Funds-of-funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:34,
2009-09,1,
2009-10,1,
2009-11,1,
2009-12,-,Nothing exists
2010-01,1,
2010-02,2,
2010-03,2,
2010-04,2,
2010-05,2,
2010-06,2,
2010-07,2,
2010-08,2,
2010-09,4,
2010-10,7,
2010-11,9,
2010-12,3,
2011-01,12,
2011-02,12,
2011-03,17,
2011-04,17,
2011-05,17,
2011-06,16,
2011-07,17,
2011-08,12,
2011-09,11,
2011-10,14,
2011-11,12,
2011-12,0,
2012-01,1,
2012-02,1,
2012-03,6,
2012-04,11,
2012-05,11,
2012-06,10,
2012-07,13,
2012-08,13,
2012-09,13,
2012-10,13,
2012-11,13,
2012-12,-,Nothing exists
2013-01,10,
2013-02,9,
2013-03,11,
2013-04,29,
2013-05,29,
2013-06,29,
2013-07,32,
2013-08,21,
2013-09,19,
2013-10,19,
2013-11,14,
2013-12,11,
2014-01,9,
2014-02,18,
2014-03,14,
2014-04,14,
2014-05,15,
2014-06,13,
2014-07,10,
2014-08,14,
2014-09,14,
2014-10,13,
2014-11,14,
