"",BBDL1.M.DE2.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A,BBDL1.M.DE2.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A_FLAGS
"",Employees subject to social security contributions / East Germany / Total / Absolute value / Calendar and seasonally adjusted,
unit,Anzahl (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-26 10:19:15,
1999-06,5815,
1999-07,5785,
1999-08,5764,
1999-09,5766,
1999-10,5762,
1999-11,5768,
1999-12,5774,
2000-01,5758,
2000-02,5747,
2000-03,5740,
2000-04,5721,
2000-05,5719,
2000-06,5719,
2000-07,5708,
2000-08,5696,
2000-09,5665,
2000-10,5659,
2000-11,5647,
2000-12,5633,
2001-01,5605,
2001-02,5602,
2001-03,5593,
2001-04,5589,
2001-05,5582,
2001-06,5548,
2001-07,5528,
2001-08,5512,
2001-09,5473,
2001-10,5510,
2001-11,5508,
2001-12,5497,
2002-01,5500,
2002-02,5494,
2002-03,5476,
2002-04,5457,
2002-05,5434,
2002-06,5409,
2002-07,5409,
2002-08,5401,
2002-09,5377,
2002-10,5351,
2002-11,5328,
2002-12,5313,
2003-01,5304,
2003-02,5285,
2003-03,5264,
2003-04,5254,
2003-05,5237,
2003-06,5230,
2003-07,5216,
2003-08,5195,
2003-09,5192,
2003-10,5190,
2003-11,5182,
2003-12,5174,
2004-01,5166,
2004-02,5154,
2004-03,5156,
2004-04,5134,
2004-05,5121,
2004-06,5125,
2004-07,5119,
2004-08,5126,
2004-09,5113,
2004-10,5090,
2004-11,5073,
2004-12,5053,
2005-01,5023,
2005-02,5007,
2005-03,4998,
2005-04,4998,
2005-05,4995,
2005-06,4990,
2005-07,4983,
2005-08,4993,
2005-09,4997,
2005-10,5007,
2005-11,5016,
2005-12,5001,
2006-01,4981,
2006-02,4983,
2006-03,4990,
2006-04,5017,
2006-05,5045,
2006-06,5057,
2006-07,5060,
2006-08,5060,
2006-09,5067,
2006-10,5082,
2006-11,5101,
2006-12,5114,
2007-01,5138,
2007-02,5152,
2007-03,5161,
2007-04,5161,
2007-05,5160,
2007-06,5155,
2007-07,5172,
2007-08,5175,
2007-09,5189,
2007-10,5202,
2007-11,5211,
2007-12,5219,
2008-01,5246,
2008-02,5265,
2008-03,5267,
2008-04,5262,
2008-05,5264,
2008-06,5274,
2008-07,5274,
2008-08,5272,
2008-09,5287,
2008-10,5291,
2008-11,5290,
2008-12,5296,
2009-01,5295,
2009-02,5294,
2009-03,5284,
2009-04,5278,
2009-05,5269,
2009-06,5271,
2009-07,5275,
2009-08,5283,
2009-09,5283,
2009-10,5288,
2009-11,5296,
2009-12,5306,
2010-01,5306,
2010-02,5304,
2010-03,5320,
2010-04,5335,
2010-05,5345,
2010-06,5353,
2010-07,5360,
2010-08,5373,
2010-09,5375,
2010-10,5376,
2010-11,5385,
2010-12,5387,
2011-01,5390,
2011-02,5405,
2011-03,5419,
2011-04,5428,
2011-05,5440,
2011-06,5447,
2011-07,5451,
2011-08,5466,
2011-09,5470,
2011-10,5477,
2011-11,5488,
2011-12,5499,
2012-01,5515,
2012-02,5519,
2012-03,5532,
2012-04,5533,
2012-05,5538,
2012-06,5539,
2012-07,5545,
2012-08,5544,
2012-09,5546,
2012-10,5555,
2012-11,5559,
2012-12,5562,
2013-01,5568,
2013-02,5574,
2013-03,5563,
2013-04,5573,
2013-05,5579,
2013-06,5576,
2013-07,5586,
2013-08,5596,
2013-09,5602,
2013-10,5607,
2013-11,5610,
2013-12,5620,
2014-01,5634,
2014-02,5648,
2014-03,5659,
2014-04,5661,
2014-05,5659,
2014-06,5672,
2014-07,5674,
2014-08,5672,
2014-09,5680,Estimated value
2014-10,5684,Estimated value
2014-11,5696,Estimated value
2014-12,5708,Estimated value
