"",BBK01.OELI05Q,BBK01.OELI05Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:54,
2002-01,0.861,
2002-04,0.856,
2002-07,0.817,
2002-10,0.795,
2003-01,0.778,
2003-04,0.250,
2003-07,0.844,
2003-10,0.850,
2004-01,0.836,
2004-04,0.824,
2004-07,0.815,
2004-10,0.802,
2005-01,0.752,
2005-04,0.706,
2005-07,0.727,
2005-10,0.841,
2006-01,0.813,
2006-04,0.894,
2006-07,0.930,
2006-10,0.971,
2007-01,1.022,
2007-04,1.087,
2007-07,1.092,
2007-10,1.045,
2008-01,1.036,
2008-04,1.019,
2008-07,1.000,
2008-10,0.976,
2009-01,0.958,
2009-04,0.946,
2009-07,0.907,
2009-10,0.908,
2010-01,0.923,
2010-04,0.960,
2010-07,0.962,
2010-10,1.022,
2011-01,0.974,
2011-04,0.990,
2011-07,0.951,
2011-10,0.926,
2012-01,0.916,
2012-04,0.912,
2012-07,0.910,
2012-10,0.892,
2013-01,0.889,
2013-04,0.883,
2013-07,0.889,
2013-10,0.877,
2014-01,0.976,
2014-04,0.964,
2014-07,0.947,
