"",BBK01.OEAD01N,BBK01.OEAD01N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:23,
2002-01,35.845,
2002-04,35.399,
2002-07,34.156,
2002-10,32.980,
2003-01,32.553,
2003-04,32.733,
2003-07,31.738,
2003-10,30.525,
2004-01,29.316,
2004-04,29.053,
2004-07,28.017,
2004-10,26.654,
2005-01,27.147,
2005-04,26.426,
2005-07,25.838,
2005-10,26.047,
2006-01,25.694,
2006-04,26.362,
2006-07,27.042,
2006-10,26.152,
2007-01,27.407,
2007-04,27.216,
2007-07,27.470,
2007-10,27.637,
2008-01,29.040,
2008-04,29.883,
2008-07,29.946,
2008-10,30.070,
2009-01,29.253,
2009-04,29.811,
2009-07,28.427,
2009-10,26.979,
2010-01,27.283,
2010-04,27.277,
2010-07,27.891,
2010-10,27.097,
2011-01,27.957,
2011-04,28.333,
2011-07,27.994,
2011-10,27.281,
2012-01,28.211,
2012-04,28.242,
2012-07,27.741,
2012-10,27.193,
2013-01,27.716,
2013-04,27.457,
2013-07,26.855,
2013-10,26.220,
2014-01,28.004,
2014-04,28.046,
2014-07,27.579,
