"",BBK01.WX4212,BBK01.WX4212_FLAGS
"",Net purchase or net sales (-) of domestic shares by non-residents; transaction values,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 09:16:27,
2000-01,13314,
2000-02,42391,
2000-03,3130,
2000-04,-1394,
2000-05,1797,
2000-06,42244,
2000-07,4286,
2000-08,5851,
2000-09,1034,
2000-10,508,
2000-11,6523,
2000-12,-143877,
2001-01,-20,
2001-02,-377,
2001-03,5763,
2001-04,-544,
2001-05,44343,
2001-06,27109,
2001-07,6906,
2001-08,137,
2001-09,716,
2001-10,749,
2001-11,-199,
2001-12,334,
2002-01,1709,
2002-02,-22,
2002-03,6144,
2002-04,-7795,
2002-05,10947,
2002-06,6293,
2002-07,119,
2002-08,321,
2002-09,-463,
2002-10,690,
2002-11,1075,
2002-12,1922,
2003-01,-2832,
2003-02,-2236,
2003-03,1001,
2003-04,-1395,
2003-05,-2589,
2003-06,7451,
2003-07,1225,
2003-08,3249,
2003-09,-170,
2003-10,12540,
2003-11,5193,
2003-12,5580,
2004-01,-5357,
2004-02,8409,
2004-03,-7783,
2004-04,-22572,
2004-05,-7391,
2004-06,16709,
2004-07,3413,
2004-08,337,
2004-09,2997,
2004-10,-21,
2004-11,1663,
2004-12,-1153,
2005-01,-5609,
2005-02,5717,
2005-03,1409,
2005-04,-45996,
2005-05,17424,
2005-06,32295,
2005-07,84,
2005-08,248,
2005-09,6661,
2005-10,-664,
2005-11,15460,
2005-12,4299,
2006-01,-14354,
2006-02,10901,
2006-03,2940,
2006-04,-31723,
2006-05,79,
2006-06,33874,
2006-07,-4340,
2006-08,3719,
2006-09,1748,
2006-10,9163,
2006-11,5637,
2006-12,1104,
2007-01,-4921,
2007-02,18393,
2007-03,1718,
2007-04,-25863,
2007-05,9964,
2007-06,52415,
2007-07,1593,
2007-08,5778,
2007-09,-1717,
2007-10,2156,
2007-11,-2623,
2007-12,406,
2008-01,-18161,
2008-02,12261,
2008-03,-9897,
2008-04,-41801,
2008-05,3230,
2008-06,16936,
2008-07,-1790,
2008-08,2908,
2008-09,1589,
2008-10,6614,
2008-11,1772,
2008-12,-5856,
2009-01,-22273,
2009-02,8799,
2009-03,6750,
2009-04,-14250,
2009-05,8443,
2009-06,4433,
2009-07,5806,
2009-08,1763,
2009-09,5500,
2009-10,2152,
2009-11,-1826,
2009-12,188,
2010-01,-3054,
2010-02,1774,
2010-03,323,
2010-04,-33525,
2010-05,20840,
2010-06,14950,
2010-07,1222,
2010-08,-305,
2010-09,1763,
2010-10,2700,
2010-11,-1693,
2010-12,-3635,
2011-01,-8762,
2011-02,3186,
2011-03,-6225,
2011-04,-17374,
2011-05,10955,
2011-06,14275,
2011-07,-256,
2011-08,-2315,
2011-09,-2013,
2011-10,787,
2011-11,-5192,
2011-12,-1905,
2012-01,-3397,
2012-02,3718,
2012-03,-9514,
2012-04,-10201,
2012-05,9390,
2012-06,10863,
2012-07,1841,
2012-08,-292,
2012-09,-820,
2012-10,508,
2012-11,-112,
2012-12,-841,
2013-01,-5601,
2013-02,3730,
2013-03,-3521,
2013-04,-21967,
2013-05,15603,
2013-06,7931,
2013-07,1373,
2013-08,1198,
2013-09,1361,
2013-10,-3698,
2013-11,3312,
2013-12,5301,
2014-01,-7595,
2014-02,5701,
2014-03,-4086,
2014-04,-9785,
2014-05,6162,
2014-06,11278,
2014-07,-3337,
2014-08,1391,
2014-09,7813,
2014-10,2430,
2014-11,2040,
2014-12,-623,
