"",BBK01.OEAF22G,BBK01.OEAF22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:06:48,
2002-01,13.191,
2002-04,14.190,
2002-07,14.279,
2002-10,14.479,
2003-01,14.412,
2003-04,14.605,
2003-07,14.857,
2003-10,15.174,
2004-01,15.004,
2004-04,15.269,
2004-07,15.468,
2004-10,15.437,
2005-01,15.401,
2005-04,15.563,
2005-07,15.667,
2005-10,15.484,
2006-01,15.120,
2006-04,14.842,
2006-07,14.785,
2006-10,13.964,
2007-01,13.658,
2007-04,13.352,
2007-07,13.215,
2007-10,12.716,
2008-01,12.399,
2008-04,12.189,
2008-07,11.813,
2008-10,11.524,
2009-01,11.415,
2009-04,11.391,
2009-07,11.507,
2009-10,11.393,
2010-01,11.127,
2010-04,10.990,
2010-07,11.032,
2010-10,10.912,
2011-01,11.196,
2011-04,11.264,
2011-07,11.397,
2011-10,11.302,
2012-01,11.279,
2012-04,11.309,
2012-07,11.311,
2012-10,11.237,
2013-01,11.003,
2013-04,10.978,
2013-07,11.076,
2013-10,10.927,
2014-01,10.784,
2014-04,10.533,
2014-07,10.490,
