"",BBK01.OEBJ05H,BBK01.OEBJ05H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:30,
2002-01,30.681,
2002-04,30.670,
2002-07,29.784,
2002-10,29.536,
2003-01,29.494,
2003-04,29.258,
2003-07,29.294,
2003-10,28.774,
2004-01,28.357,
2004-04,27.734,
2004-07,27.086,
2004-10,26.334,
2005-01,29.034,
2005-04,28.370,
2005-07,28.031,
2005-10,27.170,
2006-01,26.559,
2006-04,26.102,
2006-07,26.001,
2006-10,25.315,
2007-01,24.967,
2007-04,25.233,
2007-07,25.608,
2007-10,25.651,
2008-01,25.620,
2008-04,26.202,
2008-07,26.032,
2008-10,37.485,
2009-01,37.134,
2009-04,36.579,
2009-07,35.888,
2009-10,35.067,
2010-01,34.619,
2010-04,34.181,
2010-07,33.611,
2010-10,32.654,
2011-01,31.745,
2011-04,31.077,
2011-07,29.797,
2011-10,29.422,
2012-01,29.013,
2012-04,28.906,
2012-07,28.965,
2012-10,28.587,
2013-01,28.113,
2013-04,27.639,
2013-07,26.809,
2013-10,26.033,
2014-01,25.018,
2014-04,23.839,
2014-07,23.742,
