"",BBNZ1.Q.DE.N.I.0152.A,BBNZ1.Q.DE.N.I.0152.A_FLAGS
"",Germany / National accounts / Use of GDP / Machinery and equipment / Price index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:36,
1991-01,111.61,
1991-04,113.16,
1991-07,112.33,
1991-10,112.74,
1992-01,113.30,
1992-04,114.80,
1992-07,113.84,
1992-10,114.36,
1993-01,115.09,
1993-04,116.37,
1993-07,115.29,
1993-10,115.25,
1994-01,115.48,
1994-04,116.45,
1994-07,114.84,
1994-10,114.48,
1995-01,114.09,
1995-04,115.52,
1995-07,114.37,
1995-10,113.43,
1996-01,113.45,
1996-04,114.88,
1996-07,113.24,
1996-10,112.72,
1997-01,112.67,
1997-04,113.73,
1997-07,112.60,
1997-10,112.37,
1998-01,111.60,
1998-04,112.64,
1998-07,110.46,
1998-10,109.67,
1999-01,108.91,
1999-04,110.36,
1999-07,108.07,
1999-10,108.11,
2000-01,108.13,
2000-04,110.65,
2000-07,108.84,
2000-10,109.43,
2001-01,107.65,
2001-04,109.31,
2001-07,107.80,
2001-10,107.19,
2002-01,107.07,
2002-04,108.19,
2002-07,105.51,
2002-10,105.39,
2003-01,103.94,
2003-04,104.35,
2003-07,103.01,
2003-10,102.96,
2004-01,102.72,
2004-04,103.65,
2004-07,102.52,
2004-10,101.97,
2005-01,102.34,
2005-04,102.65,
2005-07,101.73,
2005-10,100.92,
2006-01,101.45,
2006-04,101.82,
2006-07,100.84,
2006-10,99.30,
2007-01,100.83,
2007-04,101.51,
2007-07,100.28,
2007-10,98.84,
2008-01,100.29,
2008-04,100.78,
2008-07,99.81,
2008-10,98.68,
2009-01,100.53,
2009-04,100.85,
2009-07,100.11,
2009-10,99.04,
2010-01,100.38,
2010-04,100.69,
2010-07,99.99,
2010-10,99.17,
2011-01,100.56,
2011-04,100.89,
2011-07,100.42,
2011-10,99.82,
2012-01,101.43,
2012-04,101.67,
2012-07,101.27,
2012-10,100.69,
2013-01,101.86,
2013-04,101.93,
2013-07,101.41,
2013-10,100.80,
2014-01,101.88,
2014-04,101.94,
2014-07,101.39,
2014-10,100.83,
