"",BBK01.OEAB01U,BBK01.OEAB01U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:49,
2002-01,23.806,
2002-04,23.966,
2002-07,24.023,
2002-10,24.664,
2003-01,24.518,
2003-04,24.627,
2003-07,24.620,
2003-10,24.660,
2004-01,24.617,
2004-04,23.953,
2004-07,24.117,
2004-10,24.163,
2005-01,24.565,
2005-04,24.390,
2005-07,24.541,
2005-10,24.431,
2006-01,24.401,
2006-04,24.488,
2006-07,24.624,
2006-10,24.639,
2007-01,24.454,
2007-04,24.521,
2007-07,24.323,
2007-10,24.480,
2008-01,24.163,
2008-04,24.182,
2008-07,24.111,
2008-10,24.214,
2009-01,24.012,
2009-04,25.031,
2009-07,25.180,
2009-10,25.221,
2010-01,25.274,
2010-04,25.405,
2010-07,25.384,
2010-10,25.315,
2011-01,25.502,
2011-04,25.692,
2011-07,25.713,
2011-10,25.631,
2012-01,25.790,
2012-04,26.317,
2012-07,26.448,
2012-10,26.439,
2013-01,27.228,
2013-04,27.630,
2013-07,28.065,
2013-10,28.257,
2014-01,28.622,
2014-04,28.928,
2014-07,28.853,
