"",BBK01.OEAC60T,BBK01.OEAC60T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:13,
2002-01,0.765,
2002-04,0.773,
2002-07,0.775,
2002-10,0.772,
2003-01,0.784,
2003-04,0.775,
2003-07,0.757,
2003-10,0.750,
2004-01,0.756,
2004-04,0.744,
2004-07,0.726,
2004-10,0.714,
2005-01,0.696,
2005-04,0.696,
2005-07,0.657,
2005-10,0.647,
2006-01,0.637,
2006-04,0.639,
2006-07,0.635,
2006-10,0.633,
2007-01,0.619,
2007-04,0.617,
2007-07,0.622,
2007-10,0.609,
2008-01,0.604,
2008-04,0.599,
2008-07,0.603,
2008-10,0.600,
2009-01,0.583,
2009-04,0.586,
2009-07,0.587,
2009-10,0.580,
2010-01,0.585,
2010-04,0.595,
2010-07,0.607,
2010-10,0.605,
2011-01,0.595,
2011-04,0.588,
2011-07,0.585,
2011-10,0.584,
2012-01,0.577,
2012-04,0.580,
2012-07,0.580,
2012-10,0.583,
2013-01,0.576,
2013-04,0.579,
2013-07,0.578,
2013-10,0.573,
2014-01,0.574,
2014-04,0.572,
2014-07,0.581,
