"",BBSF2.M.1.T.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.AT.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Austria,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:37,
2009-09,854,
2009-10,858,
2009-11,891,
2009-12,815,
2010-01,842,
2010-02,859,
2010-03,882,
2010-04,874,
2010-05,891,
2010-06,908,
2010-07,904,
2010-08,924,
2010-09,923,
2010-10,895,
2010-11,889,
2010-12,863,
2011-01,895,
2011-02,1023,
2011-03,1045,
2011-04,1015,
2011-05,937,
2011-06,928,
2011-07,950,
2011-08,901,
2011-09,868,
2011-10,928,
2011-11,892,
2011-12,882,
2012-01,930,
2012-02,919,
2012-03,909,
2012-04,881,
2012-05,837,
2012-06,828,
2012-07,866,
2012-08,833,
2012-09,864,
2012-10,900,
2012-11,853,
2012-12,885,
2013-01,917,
2013-02,921,
2013-03,939,
2013-04,948,
2013-05,987,
2013-06,909,
2013-07,986,
2013-08,1020,
2013-09,1052,
2013-10,1055,
2013-11,1013,
2013-12,962,
2014-01,999,
2014-02,998,
2014-03,795,
2014-04,803,
2014-05,814,
2014-06,885,
2014-07,876,
2014-08,871,
2014-09,846,
2014-10,874,
2014-11,871,
