"",BBK01.OELL08R,BBK01.OELL08R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:18:30,
2002-01,1.298,
2002-04,1.279,
2002-07,1.318,
2002-10,1.409,
2003-01,1.436,
2003-04,1.413,
2003-07,1.441,
2003-10,1.463,
2004-01,1.464,
2004-04,1.442,
2004-07,1.428,
2004-10,1.434,
2005-01,1.432,
2005-04,1.420,
2005-07,1.434,
2005-10,1.473,
2006-01,1.503,
2006-04,1.497,
2006-07,1.499,
2006-10,1.483,
2007-01,1.452,
2007-04,1.448,
2007-07,1.460,
2007-10,1.491,
2008-01,1.500,
2008-04,1.471,
2008-07,1.449,
2008-10,1.489,
2009-01,1.479,
2009-04,1.426,
2009-07,1.351,
2009-10,1.363,
2010-01,1.319,
2010-04,1.280,
2010-07,1.277,
2010-10,1.300,
2011-01,1.317,
2011-04,1.316,
2011-07,1.318,
2011-10,1.355,
2012-01,1.329,
2012-04,1.330,
2012-07,1.337,
2012-10,1.353,
2013-01,1.353,
2013-04,1.358,
2013-07,1.368,
2013-10,1.390,
2014-01,1.400,
2014-04,1.402,
2014-07,1.405,
