"",BBSF2.M.1.T.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.IMM01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investoers Funds / Real estate funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:04,
2009-09,-16,
2009-10,545,
2009-11,365,
2009-12,1412,
2010-01,2142,
2010-02,1165,
2010-03,511,
2010-04,174,
2010-05,-1433,
2010-06,364,
2010-07,865,
2010-08,93,
2010-09,-111,
2010-10,202,
2010-11,-245,
2010-12,670,
2011-01,714,
2011-02,490,
2011-03,-185,
2011-04,27,
2011-05,548,
2011-06,585,
2011-07,163,
2011-08,59,
2011-09,640,
2011-10,622,
2011-11,166,
2011-12,1264,
2012-01,882,
2012-02,529,
2012-03,627,
2012-04,94,
2012-05,163,
2012-06,1141,
2012-07,1041,
2012-08,573,
2012-09,650,
2012-10,642,
2012-11,362,
2012-12,1342,
2013-01,1490,
2013-02,567,
2013-03,1277,
2013-04,937,
2013-05,157,
2013-06,1332,
2013-07,932,
2013-08,-35,
2013-09,305,
2013-10,-176,
2013-11,1521,
2013-12,1490,
2014-01,860,
2014-02,627,
2014-03,1192,
2014-04,238,
2014-05,442,
2014-06,1103,
2014-07,645,
2014-08,437,
2014-09,717,
2014-10,-895,
2014-11,1496,
